task_id,WL,Retention,PEC,num_points
61,1,3,6000,34
259,7,3,6000,35
292,8,3,6000,35
313,9,2,5000,31
365,11,1,2000,32
492,14,3,8000,36
531,16,1,3000,27
566,17,1,5000,27
638,19,2,0,32
667,20,1,7000,25
713,21,2,9000,41
740,22,2,3000,34
763,23,1,4000,28
767,23,1,8000,26
782,23,3,1000,29
815,24,3,1000,30
964,29,1,7000,30
1065,32,1,9000,34
1087,32,3,9000,40
1173,35,2,7000,37
1176,35,2,10000,35
1289,39,1,2000,34
1346,40,3,4000,37
1377,41,3,2000,34
1518,46,1,0,29
1585,48,1,1000,26
1625,49,1,8000,34
1673,50,3,1000,28
1679,50,3,7000,35
1811,54,3,7000,34
1892,57,2,0,35
1900,57,2,8000,37
1975,59,3,6000,39
2011,60,3,9000,34
2066,62,2,9000,37
2307,69,3,8000,34
2330,70,2,9000,32
2334,70,3,2000,30
2420,73,2,0,31
2563,77,3,0,33
2619,79,2,1000,34
2725,82,2,8000,33
2765,83,3,4000,31
2931,88,3,5000,35
2957,89,2,9000,33
3038,92,1,2000,29
3065,92,3,7000,35
3085,93,2,5000,33
3099,93,3,8000,34
3251,98,2,6000,33
3350,101,2,6000,33
3435,104,1,3000,34
3448,104,2,5000,34
3595,108,3,9000,32
3643,110,2,2000,33
3651,110,2,10000,34
3663,111,1,0,27
3685,111,3,0,29
3692,111,3,7000,33
3701,112,1,5000,30
3719,112,3,1000,30
3746,113,2,6000,33
3751,113,3,0,29
3860,116,3,10000,34
3875,117,2,3000,35
3898,118,1,4000,33
3929,119,1,2000,31
3964,120,1,4000,35
3967,120,1,7000,33
3983,120,3,1000,29
4158,126,1,0,31
4162,126,1,4000,25
4253,128,3,7000,39
4267,129,1,10000,31
4374,132,2,7000,33
4541,137,2,9000,33
4566,138,2,1000,30
4620,140,1,0,31
4666,141,2,2000,30
4673,141,2,9000,37
4715,142,3,7000,35
4728,143,1,9000,34
4761,144,1,9000,29
4765,144,2,2000,34
4785,145,1,0,29
4842,146,3,2000,35
5084,154,1,2000,32
5266,159,2,8000,38
5279,159,3,10000,34
5346,162,1,0,27
5349,162,1,3000,29
5359,162,2,2000,33
5433,164,2,10000,30
5510,166,3,10000,31
5588,169,2,0,28
5611,170,1,1000,30
5627,170,2,6000,36
5658,171,2,4000,30
5708,172,3,10000,34
5730,173,2,10000,35
5747,174,1,5000,29
5792,175,2,6000,34
5843,177,1,2000,28
5871,177,3,8000,32
5929,179,3,0,32
5964,180,3,2000,32
6114,185,1,9000,31
6212,188,1,8000,30
6226,188,3,0,30
6322,191,2,8000,26
6326,191,3,1000,28
6344,192,1,8000,26
6423,194,2,10000,32
6439,195,1,4000,28
6445,195,1,10000,34
6497,196,3,7000,30
6504,197,1,3000,30
6535,198,1,1000,30
6558,198,3,2000,32
6565,198,3,9000,30
6613,200,2,2000,29
6659,201,3,4000,31
6695,202,3,7000,33
6703,203,1,4000,29
6751,204,2,8000,32
6761,204,3,7000,30
6850,207,2,8000,30
6899,209,1,2000,29
6940,210,1,10000,30
6979,211,2,5000,31
6980,211,2,6000,32
6984,211,2,10000,31
6994,211,3,9000,29
7062,214,1,0,27
7129,216,1,1000,28
7153,216,3,3000,27
7202,218,1,8000,32
7206,218,2,1000,28
7398,224,1,6000,31
7453,225,3,6000,32
7537,228,2,2000,34
7574,229,2,6000,30
7711,233,3,0,26
7712,233,3,1000,29
7878,238,3,2000,27
8090,245,1,5000,29
8099,245,2,3000,28
8107,245,3,0,28
8293,251,1,10000,29
8381,253,3,10000,33
