task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points,val_mse,val_rmse,val_mae,val_r2,val_points,test_mse,test_rmse,test_mae,test_r2,test_points
0,0,4,0,21,scratch,1,33,0.002306296257302165,0.0003664045361801982,1632.55029296875,40.40483093261719,22.404216766357422,0.9986715995684226,13,4594.400390625,67.7820053100586,45.36212158203125,0.9970470013370506,4,20831.572265625,144.3314666748047,97.03471374511719,0.9752774903926522,4
1,0,4,1000,21,scratch,1,13,0.09260928630828857,0.0006406052270904183,19734.583984375,140.47982788085938,81.26573181152344,0.9848808825122257,13,16398.357421875,128.0560760498047,93.07707214355469,0.9883718808295441,4,9588.75390625,97.92218017578125,62.239227294921875,0.9865139969550673,4
2,0,4,2000,25,generated,0,18,0.044029273092746735,0.010935170575976372,2458.059814453125,49.57882308959961,26.607419967651367,0.998006223324416,15,1654.5706787109375,40.676414489746094,21.48527717590332,0.9974577081261038,5,10019.2705078125,100.09630584716797,48.562171936035156,0.9900957249070914,5
3,0,4,3000,21,generated,0,8,0.09877430647611618,0.004073047079145908,34945.5859375,186.9373779296875,100.13595581054688,0.9716059563408108,13,129120.15625,359.33294677734375,247.7086944580078,0.9051946425132582,4,57997.39453125,240.82647705078125,170.75238037109375,0.9195375887909308,4
4,0,4,4000,24,generated,0,14,0.003420507535338402,0.019390949979424477,2134.029296875,46.195556640625,30.26718521118164,0.9978420130615184,14,6431.68408203125,80.19778442382812,42.834659576416016,0.9941311781838201,5,717.52294921875,26.786619186401367,20.132551193237305,0.9995018061055905,5
5,0,4,5000,26,generated,0,28,0.03617721050977707,0.008720559999346733,1138.218017578125,33.73748779296875,19.87443733215332,0.9988629506886151,16,2658.10693359375,51.55683135986328,28.857357025146484,0.997387342616764,5,1705.5816650390625,41.29868698120117,23.042837142944336,0.9987172626490312,5
6,0,4,6000,28,generated,0,21,0.01933509297668934,0.011770457029342651,1255.522216796875,35.433349609375,18.539196014404297,0.9986412501847569,16,5290.41943359375,72.73526763916016,43.77864074707031,0.9959287557935269,6,981.32275390625,31.32607078552246,21.889429092407227,0.9988811503236553,6
7,0,4,7000,25,scratch,1,18,0.0412595272064209,0.004704991355538368,3671.64892578125,60.59413146972656,37.2579460144043,0.9960543301544814,15,9688.037109375,98.42782592773438,59.5472412109375,0.9911393028756436,5,5666.39697265625,75.27547454833984,48.897274017333984,0.9955421514299907,5
8,0,4,8000,27,scratch,1,18,0.019626950845122337,0.002782725030556321,1492.4306640625,38.631988525390625,19.84370994567871,0.9983315458228268,17,1007.6121215820312,31.74290657043457,18.095226287841797,0.9991058464380808,5,12936.794921875,113.74002838134766,67.17094421386719,0.9901909579010364,5
9,0,4,9000,23,generated,0,11,0.04265384376049042,0.004612527322024107,3251.834228515625,57.02485656738281,36.810791015625,0.9966914192450229,13,16261.4609375,127.52043151855469,62.08051300048828,0.9858777533460956,5,680.3629150390625,26.08376693725586,19.004776000976562,0.9994063206475077,5
