task_id,WL,Retention,PEC,num_points
0,0,4,0,21
1,0,4,1000,21
2,0,4,2000,25
3,0,4,3000,21
4,0,4,4000,24
5,0,4,5000,26
6,0,4,6000,28
7,0,4,7000,25
8,0,4,8000,27
9,0,4,9000,23
10,0,4,10000,26
11,0,5,0,23
12,0,5,1000,23
13,0,5,2000,27
14,0,5,3000,21
15,0,5,4000,25
16,0,5,5000,26
17,0,5,6000,27
18,0,5,7000,24
19,0,5,8000,27
20,0,5,9000,26
21,0,5,10000,25
22,0,6,0,22
23,0,6,1000,21
24,0,6,2000,25
25,0,6,3000,22
26,0,6,4000,25
27,0,6,5000,23
28,0,6,6000,25
29,0,6,7000,24
30,0,6,8000,24
31,0,6,9000,23
32,0,6,10000,24
33,1,4,0,20
34,1,4,1000,20
35,1,4,2000,25
36,1,4,3000,23
37,1,4,4000,24
38,1,4,5000,23
39,1,4,6000,26
40,1,4,7000,25
41,1,4,8000,26
42,1,4,9000,24
43,1,4,10000,28
44,1,5,0,22
45,1,5,1000,23
46,1,5,2000,25
47,1,5,3000,23
48,1,5,4000,29
49,1,5,5000,23
50,1,5,6000,24
51,1,5,7000,28
52,1,5,8000,26
53,1,5,9000,25
54,1,5,10000,28
55,1,6,0,20
56,1,6,1000,20
57,1,6,2000,23
58,1,6,3000,19
59,1,6,4000,24
60,1,6,5000,22
61,1,6,6000,23
62,1,6,7000,23
63,1,6,8000,23
64,1,6,9000,23
65,1,6,10000,24
66,2,4,0,22
67,2,4,1000,22
68,2,4,2000,20
69,2,4,3000,26
70,2,4,4000,25
71,2,4,5000,24
72,2,4,6000,23
73,2,4,7000,28
74,2,4,8000,25
75,2,4,9000,23
76,2,4,10000,27
77,2,5,0,22
78,2,5,1000,22
79,2,5,2000,21
80,2,5,3000,25
81,2,5,4000,27
82,2,5,5000,25
83,2,5,6000,25
84,2,5,7000,27
85,2,5,8000,27
86,2,5,9000,25
87,2,5,10000,28
88,2,6,0,22
89,2,6,1000,22
90,2,6,2000,20
91,2,6,3000,24
92,2,6,4000,25
93,2,6,5000,24
94,2,6,6000,22
95,2,6,7000,23
96,2,6,8000,24
97,2,6,9000,23
98,2,6,10000,26
99,3,4,0,23
100,3,4,1000,24
101,3,4,2000,25
102,3,4,3000,28
103,3,4,4000,29
104,3,4,5000,25
105,3,4,6000,27
106,3,4,7000,26
107,3,4,8000,26
108,3,4,9000,26
109,3,4,10000,29
110,3,5,0,21
111,3,5,1000,24
112,3,5,2000,27
113,3,5,3000,30
114,3,5,4000,29
115,3,5,5000,27
116,3,5,6000,26
117,3,5,7000,26
118,3,5,8000,26
119,3,5,9000,27
120,3,5,10000,28
121,3,6,0,19
122,3,6,1000,23
123,3,6,2000,26
124,3,6,3000,25
125,3,6,4000,26
126,3,6,5000,24
127,3,6,6000,24
128,3,6,7000,24
129,3,6,8000,23
130,3,6,9000,24
131,3,6,10000,25
132,4,4,0,25
133,4,4,1000,25
134,4,4,2000,25
135,4,4,3000,22
136,4,4,4000,21
137,4,4,5000,25
138,4,4,6000,24
139,4,4,7000,24
140,4,4,8000,23
141,4,4,9000,27
142,4,4,10000,26
143,4,5,0,26
144,4,5,1000,25
145,4,5,2000,27
146,4,5,3000,26
147,4,5,4000,24
148,4,5,5000,25
149,4,5,6000,26
150,4,5,7000,27
151,4,5,8000,23
152,4,5,9000,26
153,4,5,10000,26
154,4,6,0,24
155,4,6,1000,23
156,4,6,2000,25
157,4,6,3000,23
