task_id,WL,Retention,PEC,num_points
0,0,1,0,21
1,0,1,1000,21
2,0,1,2000,23
3,0,1,3000,24
4,0,1,4000,25
5,0,1,5000,23
6,0,1,6000,24
7,0,1,7000,26
8,0,1,8000,25
9,0,1,9000,25
10,0,1,10000,24
11,0,2,0,24
12,0,2,1000,23
13,0,2,2000,25
14,0,2,3000,23
15,0,2,4000,25
16,0,2,5000,25
17,0,2,6000,24
18,0,2,7000,25
19,0,2,8000,27
20,0,2,9000,26
21,0,2,10000,26
22,0,3,0,25
23,0,3,1000,23
24,0,3,2000,27
25,0,3,3000,26
26,0,3,4000,25
27,0,3,5000,24
28,0,3,6000,25
29,0,3,7000,25
30,0,3,8000,26
31,0,3,9000,26
32,0,3,10000,27
33,1,1,0,19
34,1,1,1000,26
35,1,1,2000,23
36,1,1,3000,23
37,1,1,4000,24
38,1,1,5000,24
39,1,1,6000,28
40,1,1,7000,24
41,1,1,8000,24
42,1,1,9000,25
43,1,1,10000,26
44,1,2,0,23
45,1,2,1000,28
46,1,2,2000,26
47,1,2,3000,30
48,1,2,4000,24
49,1,2,5000,26
50,1,2,6000,28
51,1,2,7000,28
52,1,2,8000,25
53,1,2,9000,28
54,1,2,10000,27
55,1,3,0,23
56,1,3,1000,26
57,1,3,2000,26
58,1,3,3000,29
59,1,3,4000,27
60,1,3,5000,25
61,1,3,6000,28
62,1,3,7000,27
63,1,3,8000,26
64,1,3,9000,27
65,1,3,10000,29
66,2,1,0,20
67,2,1,1000,22
68,2,1,2000,21
69,2,1,3000,23
70,2,1,4000,25
71,2,1,5000,23
72,2,1,6000,24
73,2,1,7000,22
74,2,1,8000,24
75,2,1,9000,24
76,2,1,10000,24
77,2,2,0,22
78,2,2,1000,22
79,2,2,2000,24
80,2,2,3000,26
81,2,2,4000,26
82,2,2,5000,27
83,2,2,6000,27
84,2,2,7000,24
85,2,2,8000,26
86,2,2,9000,24
87,2,2,10000,24
88,2,3,0,23
89,2,3,1000,25
90,2,3,2000,25
91,2,3,3000,27
92,2,3,4000,25
93,2,3,5000,26
94,2,3,6000,28
95,2,3,7000,26
96,2,3,8000,26
97,2,3,9000,25
98,2,3,10000,23
99,3,1,0,21
100,3,1,1000,21
101,3,1,2000,26
102,3,1,3000,25
103,3,1,4000,27
104,3,1,5000,26
105,3,1,6000,24
106,3,1,7000,24
107,3,1,8000,26
108,3,1,9000,23
109,3,1,10000,25
110,3,2,0,24
111,3,2,1000,24
112,3,2,2000,26
113,3,2,3000,24
114,3,2,4000,31
115,3,2,5000,26
116,3,2,6000,24
117,3,2,7000,25
118,3,2,8000,29
119,3,2,9000,25
120,3,2,10000,27
121,3,3,0,22
122,3,3,1000,23
123,3,3,2000,26
124,3,3,3000,25
125,3,3,4000,28
126,3,3,5000,27
127,3,3,6000,24
128,3,3,7000,25
129,3,3,8000,31
130,3,3,9000,27
131,3,3,10000,27
132,4,1,0,22
133,4,1,1000,21
134,4,1,2000,25
135,4,1,3000,25
136,4,1,4000,23
137,4,1,5000,26
138,4,1,6000,24
139,4,1,7000,24
140,4,1,8000,24
141,4,1,9000,24
142,4,1,10000,27
143,4,2,0,23
144,4,2,1000,24
145,4,2,2000,27
146,4,2,3000,27
147,4,2,4000,26
148,4,2,5000,25
149,4,2,6000,24
150,4,2,7000,25
151,4,2,8000,25
152,4,2,9000,24
153,4,2,10000,29
154,4,3,0,23
155,4,3,1000,24
156,4,3,2000,27
157,4,3,3000,24
158,4,3,4000,25
159,4,3,5000,26
160,4,3,6000,27
161,4,3,7000,25
162,4,3,8000,26
163,4,3,9000,23
164,4,3,10000,29
165,5,1,0,22
166,5,1,1000,23
167,5,1,2000,25
168,5,1,3000,22
169,5,1,4000,24
170,5,1,5000,24
171,5,1,6000,23
172,5,1,7000,23
173,5,1,8000,26
174,5,1,9000,25
175,5,1,10000,24
176,5,2,0,23
177,5,2,1000,22
178,5,2,2000,25
179,5,2,3000,27
180,5,2,4000,23
181,5,2,5000,26
182,5,2,6000,25
183,5,2,7000,26
184,5,2,8000,27
185,5,2,9000,27
186,5,2,10000,27
187,5,3,0,24
188,5,3,1000,22
189,5,3,2000,27
190,5,3,3000,29
191,5,3,4000,27
192,5,3,5000,27
193,5,3,6000,24
194,5,3,7000,26
195,5,3,8000,26
196,5,3,9000,28
197,5,3,10000,27
198,6,1,0,20
199,6,1,1000,21
200,6,1,2000,22
201,6,1,3000,24
202,6,1,4000,22
203,6,1,5000,22
204,6,1,6000,24
205,6,1,7000,26
206,6,1,8000,24
207,6,1,9000,23
208,6,1,10000,25
209,6,2,0,22
210,6,2,1000,22
211,6,2,2000,26
212,6,2,3000,25
213,6,2,4000,26
214,6,2,5000,24
215,6,2,6000,26
216,6,2,7000,25
217,6,2,8000,26
218,6,2,9000,25
219,6,2,10000,23
220,6,3,0,22
221,6,3,1000,23
222,6,3,2000,25
223,6,3,3000,23
224,6,3,4000,26
225,6,3,5000,24
226,6,3,6000,29
227,6,3,7000,26
228,6,3,8000,26
229,6,3,9000,25
230,6,3,10000,26
231,7,1,0,20
232,7,1,1000,25
233,7,1,2000,26
234,7,1,3000,28
235,7,1,4000,26
236,7,1,5000,23
237,7,1,6000,23
238,7,1,7000,22
239,7,1,8000,26
240,7,1,9000,25
241,7,1,10000,26
242,7,2,0,22
243,7,2,1000,26
244,7,2,2000,26
245,7,2,3000,31
246,7,2,4000,26
247,7,2,5000,25
248,7,2,6000,26
249,7,2,7000,26
250,7,2,8000,25
251,7,2,9000,26
252,7,2,10000,24
253,7,3,0,22
254,7,3,1000,29
255,7,3,2000,28
256,7,3,3000,30
257,7,3,4000,28
258,7,3,5000,25
259,7,3,6000,26
260,7,3,7000,26
261,7,3,8000,25
262,7,3,9000,25
263,7,3,10000,25
264,8,1,0,22
265,8,1,1000,20
266,8,1,2000,24
267,8,1,3000,21
268,8,1,4000,27
269,8,1,5000,23
270,8,1,6000,24
271,8,1,7000,27
272,8,1,8000,22
273,8,1,9000,26
274,8,1,10000,25
275,8,2,0,21
276,8,2,1000,21
277,8,2,2000,24
278,8,2,3000,23
279,8,2,4000,29
280,8,2,5000,26
281,8,2,6000,26
282,8,2,7000,30
283,8,2,8000,25
284,8,2,9000,25
285,8,2,10000,24
286,8,3,0,23
287,8,3,1000,21
288,8,3,2000,25
289,8,3,3000,23
290,8,3,4000,27
291,8,3,5000,24
292,8,3,6000,26
293,8,3,7000,30
294,8,3,8000,27
295,8,3,9000,24
296,8,3,10000,26
297,9,1,0,21
298,9,1,1000,20
299,9,1,2000,21
300,9,1,3000,23
301,9,1,4000,25
302,9,1,5000,24
303,9,1,6000,25
304,9,1,7000,26
305,9,1,8000,27
306,9,1,9000,25
307,9,1,10000,26
308,9,2,0,22
309,9,2,1000,23
310,9,2,2000,22
311,9,2,3000,26
312,9,2,4000,26
313,9,2,5000,26
314,9,2,6000,27
315,9,2,7000,28
316,9,2,8000,28
317,9,2,9000,28
318,9,2,10000,26
319,9,3,0,23
320,9,3,1000,24
321,9,3,2000,23
322,9,3,3000,29
323,9,3,4000,26
324,9,3,5000,24
325,9,3,6000,26
326,9,3,7000,27
327,9,3,8000,28
328,9,3,9000,27
329,9,3,10000,27
330,10,1,0,20
331,10,1,1000,23
332,10,1,2000,24
333,10,1,3000,20
334,10,1,4000,24
335,10,1,5000,23
336,10,1,6000,24
337,10,1,7000,24
338,10,1,8000,25
339,10,1,9000,28
340,10,1,10000,22
341,10,2,0,22
342,10,2,1000,22
343,10,2,2000,28
344,10,2,3000,25
345,10,2,4000,25
346,10,2,5000,24
347,10,2,6000,26
348,10,2,7000,25
349,10,2,8000,29
350,10,2,9000,27
351,10,2,10000,26
352,10,3,0,23
353,10,3,1000,25
354,10,3,2000,25
355,10,3,3000,27
356,10,3,4000,23
357,10,3,5000,26
358,10,3,6000,26
359,10,3,7000,25
360,10,3,8000,27
361,10,3,9000,29
362,10,3,10000,27
363,11,1,0,23
364,11,1,1000,20
365,11,1,2000,21
366,11,1,3000,23
367,11,1,4000,25
368,11,1,5000,26
369,11,1,6000,23
370,11,1,7000,26
371,11,1,8000,23
372,11,1,9000,25
373,11,1,10000,26
374,11,2,0,24
375,11,2,1000,25
376,11,2,2000,22
377,11,2,3000,24
378,11,2,4000,25
379,11,2,5000,28
380,11,2,6000,26
381,11,2,7000,26
382,11,2,8000,27
383,11,2,9000,26
384,11,2,10000,28
385,11,3,0,22
386,11,3,1000,22
387,11,3,2000,22
388,11,3,3000,22
389,11,3,4000,27
390,11,3,5000,28
391,11,3,6000,26
392,11,3,7000,25
393,11,3,8000,27
394,11,3,9000,28
395,11,3,10000,27
396,12,1,0,22
397,12,1,1000,21
398,12,1,2000,22
399,12,1,3000,22
400,12,1,4000,25
401,12,1,5000,24
402,12,1,6000,24
403,12,1,7000,23
404,12,1,8000,25
405,12,1,9000,27
406,12,1,10000,23
407,12,2,0,21
408,12,2,1000,23
409,12,2,2000,25
410,12,2,3000,22
411,12,2,4000,25
412,12,2,5000,21
413,12,2,6000,25
414,12,2,7000,25
415,12,2,8000,24
416,12,2,9000,27
417,12,2,10000,26
418,12,3,0,26
419,12,3,1000,23
420,12,3,2000,25
421,12,3,3000,23
422,12,3,4000,24
423,12,3,5000,22
424,12,3,6000,26
425,12,3,7000,25
426,12,3,8000,24
427,12,3,9000,27
428,12,3,10000,28
429,13,1,0,21
430,13,1,1000,20
431,13,1,2000,22
432,13,1,3000,22
433,13,1,4000,26
434,13,1,5000,27
435,13,1,6000,26
436,13,1,7000,23
437,13,1,8000,26
438,13,1,9000,24
439,13,1,10000,27
440,13,2,0,26
441,13,2,1000,22
442,13,2,2000,24
443,13,2,3000,26
444,13,2,4000,26
445,13,2,5000,27
446,13,2,6000,30
447,13,2,7000,27
448,13,2,8000,27
449,13,2,9000,26
450,13,2,10000,28
451,13,3,0,24
452,13,3,1000,22
453,13,3,2000,24
454,13,3,3000,25
455,13,3,4000,28
456,13,3,5000,30
457,13,3,6000,29
458,13,3,7000,26
459,13,3,8000,27
460,13,3,9000,26
461,13,3,10000,28
462,14,1,0,22
463,14,1,1000,21
464,14,1,2000,23
465,14,1,3000,22
466,14,1,4000,25
467,14,1,5000,21
468,14,1,6000,24
469,14,1,7000,23
470,14,1,8000,24
471,14,1,9000,23
472,14,1,10000,25
473,14,2,0,23
474,14,2,1000,23
475,14,2,2000,22
476,14,2,3000,23
477,14,2,4000,25
478,14,2,5000,22
479,14,2,6000,25
480,14,2,7000,25
481,14,2,8000,27
482,14,2,9000,27
483,14,2,10000,27
484,14,3,0,21
485,14,3,1000,23
486,14,3,2000,22
487,14,3,3000,22
488,14,3,4000,26
489,14,3,5000,24
490,14,3,6000,27
491,14,3,7000,25
492,14,3,8000,27
493,14,3,9000,27
494,14,3,10000,27
495,15,1,0,21
496,15,1,1000,21
497,15,1,2000,22
498,15,1,3000,22
499,15,1,4000,22
500,15,1,5000,25
501,15,1,6000,25
502,15,1,7000,23
503,15,1,8000,27
504,15,1,9000,27
505,15,1,10000,28
506,15,2,0,21
507,15,2,1000,22
508,15,2,2000,24
509,15,2,3000,23
510,15,2,4000,22
511,15,2,5000,28
512,15,2,6000,26
513,15,2,7000,29
514,15,2,8000,29
515,15,2,9000,28
516,15,2,10000,30
517,15,3,0,22
518,15,3,1000,21
519,15,3,2000,24
520,15,3,3000,24
521,15,3,4000,21
522,15,3,5000,25
523,15,3,6000,25
524,15,3,7000,28
525,15,3,8000,28
526,15,3,9000,30
527,15,3,10000,29
528,16,1,0,20
529,16,1,1000,21
530,16,1,2000,23
531,16,1,3000,23
532,16,1,4000,22
533,16,1,5000,22
534,16,1,6000,27
535,16,1,7000,25
536,16,1,8000,28
537,16,1,9000,25
538,16,1,10000,25
539,16,2,0,20
540,16,2,1000,23
541,16,2,2000,25
542,16,2,3000,21
543,16,2,4000,25
544,16,2,5000,22
545,16,2,6000,27
546,16,2,7000,26
547,16,2,8000,29
548,16,2,9000,27
549,16,2,10000,24
550,16,3,0,23
551,16,3,1000,23
552,16,3,2000,23
553,16,3,3000,24
554,16,3,4000,24
555,16,3,5000,22
556,16,3,6000,27
557,16,3,7000,25
558,16,3,8000,28
559,16,3,9000,28
560,16,3,10000,24
561,17,1,0,22
562,17,1,1000,20
563,17,1,2000,22
564,17,1,3000,23
565,17,1,4000,23
566,17,1,5000,20
567,17,1,6000,22
568,17,1,7000,23
569,17,1,8000,22
570,17,1,9000,27
571,17,1,10000,26
572,17,2,0,22
573,17,2,1000,22
574,17,2,2000,21
575,17,2,3000,22
576,17,2,4000,23
577,17,2,5000,24
578,17,2,6000,28
579,17,2,7000,29
580,17,2,8000,27
581,17,2,9000,26
582,17,2,10000,25
583,17,3,0,22
584,17,3,1000,24
585,17,3,2000,24
586,17,3,3000,24
587,17,3,4000,23
588,17,3,5000,22
589,17,3,6000,26
590,17,3,7000,25
591,17,3,8000,27
592,17,3,9000,27
593,17,3,10000,25
594,18,1,0,22
595,18,1,1000,21
596,18,1,2000,22
597,18,1,3000,23
598,18,1,4000,23
599,18,1,5000,21
600,18,1,6000,21
601,18,1,7000,22
602,18,1,8000,23
603,18,1,9000,25
604,18,1,10000,23
605,18,2,0,22
606,18,2,1000,23
607,18,2,2000,22
608,18,2,3000,26
609,18,2,4000,23
610,18,2,5000,26
611,18,2,6000,22
612,18,2,7000,25
613,18,2,8000,23
614,18,2,9000,26
615,18,2,10000,24
616,18,3,0,22
617,18,3,1000,23
618,18,3,2000,22
619,18,3,3000,24
620,18,3,4000,23
621,18,3,5000,23
622,18,3,6000,23
623,18,3,7000,26
624,18,3,8000,24
625,18,3,9000,27
626,18,3,10000,26
627,19,1,0,21
628,19,1,1000,24
629,19,1,2000,24
630,19,1,3000,22
631,19,1,4000,22
632,19,1,5000,27
633,19,1,6000,21
634,19,1,7000,24
635,19,1,8000,24
636,19,1,9000,26
637,19,1,10000,22
638,19,2,0,22
639,19,2,1000,23
640,19,2,2000,23
641,19,2,3000,24
642,19,2,4000,22
643,19,2,5000,25
644,19,2,6000,28
645,19,2,7000,23
646,19,2,8000,23
647,19,2,9000,30
648,19,2,10000,28
649,19,3,0,22
650,19,3,1000,24
651,19,3,2000,22
652,19,3,3000,22
653,19,3,4000,22
654,19,3,5000,27
655,19,3,6000,28
656,19,3,7000,22
657,19,3,8000,26
658,19,3,9000,28
659,19,3,10000,28
660,20,1,0,22
661,20,1,1000,22
662,20,1,2000,21
663,20,1,3000,23
664,20,1,4000,22
665,20,1,5000,23
666,20,1,6000,22
667,20,1,7000,22
668,20,1,8000,22
669,20,1,9000,28
670,20,1,10000,22
671,20,2,0,24
672,20,2,1000,23
673,20,2,2000,22
674,20,2,3000,27
675,20,2,4000,22
676,20,2,5000,23
677,20,2,6000,25
678,20,2,7000,24
679,20,2,8000,25
680,20,2,9000,29
681,20,2,10000,29
682,20,3,0,25
683,20,3,1000,23
684,20,3,2000,23
685,20,3,3000,26
686,20,3,4000,21
687,20,3,5000,23
688,20,3,6000,25
689,20,3,7000,25
690,20,3,8000,23
691,20,3,9000,29
692,20,3,10000,29
693,21,1,0,23
694,21,1,1000,23
695,21,1,2000,22
696,21,1,3000,21
697,21,1,4000,21
698,21,1,5000,21
699,21,1,6000,22
700,21,1,7000,27
701,21,1,8000,23
702,21,1,9000,28
703,21,1,10000,22
704,21,2,0,25
705,21,2,1000,23
706,21,2,2000,22
707,21,2,3000,24
708,21,2,4000,22
709,21,2,5000,21
710,21,2,6000,25
711,21,2,7000,31
712,21,2,8000,23
713,21,2,9000,30
714,21,2,10000,24
715,21,3,0,21
716,21,3,1000,24
717,21,3,2000,22
718,21,3,3000,23
719,21,3,4000,24
720,21,3,5000,24
721,21,3,6000,25
722,21,3,7000,29
723,21,3,8000,26
724,21,3,9000,30
725,21,3,10000,24
726,22,1,0,20
727,22,1,1000,21
728,22,1,2000,22
729,22,1,3000,22
730,22,1,4000,22
731,22,1,5000,20
732,22,1,6000,22
733,22,1,7000,24
734,22,1,8000,22
735,22,1,9000,21
736,22,1,10000,22
737,22,2,0,23
738,22,2,1000,23
739,22,2,2000,23
740,22,2,3000,26
741,22,2,4000,22
742,22,2,5000,25
743,22,2,6000,24
744,22,2,7000,22
745,22,2,8000,23
746,22,2,9000,28
747,22,2,10000,24
748,22,3,0,23
749,22,3,1000,23
750,22,3,2000,25
751,22,3,3000,21
752,22,3,4000,23
753,22,3,5000,23
754,22,3,6000,23
755,22,3,7000,22
756,22,3,8000,25
757,22,3,9000,26
758,22,3,10000,24
759,23,1,0,21
760,23,1,1000,21
761,23,1,2000,21
762,23,1,3000,23
763,23,1,4000,24
764,23,1,5000,23
765,23,1,6000,22
766,23,1,7000,22
767,23,1,8000,21
768,23,1,9000,26
769,23,1,10000,23
770,23,2,0,23
771,23,2,1000,23
772,23,2,2000,25
773,23,2,3000,21
774,23,2,4000,24
775,23,2,5000,23
776,23,2,6000,25
777,23,2,7000,23
778,23,2,8000,23
779,23,2,9000,27
780,23,2,10000,24
781,23,3,0,22
782,23,3,1000,23
783,23,3,2000,24
784,23,3,3000,23
785,23,3,4000,23
786,23,3,5000,24
787,23,3,6000,25
788,23,3,7000,24
789,23,3,8000,25
790,23,3,9000,29
791,23,3,10000,23
792,24,1,0,25
793,24,1,1000,24
794,24,1,2000,20
795,24,1,3000,22
796,24,1,4000,22
797,24,1,5000,21
798,24,1,6000,22
799,24,1,7000,23
800,24,1,8000,21
801,24,1,9000,27
802,24,1,10000,20
803,24,2,0,25
804,24,2,1000,24
805,24,2,2000,22
806,24,2,3000,25
807,24,2,4000,23
808,24,2,5000,23
809,24,2,6000,24
810,24,2,7000,23
811,24,2,8000,22
812,24,2,9000,25
813,24,2,10000,23
814,24,3,0,25
815,24,3,1000,26
816,24,3,2000,23
817,24,3,3000,25
818,24,3,4000,22
819,24,3,5000,21
820,24,3,6000,24
821,24,3,7000,22
822,24,3,8000,22
823,24,3,9000,26
824,24,3,10000,23
825,25,1,0,21
826,25,1,1000,24
827,25,1,2000,24
828,25,1,3000,23
829,25,1,4000,23
830,25,1,5000,24
831,25,1,6000,22
832,25,1,7000,23
833,25,1,8000,21
834,25,1,9000,23
835,25,1,10000,22
836,25,2,0,24
837,25,2,1000,26
838,25,2,2000,27
839,25,2,3000,25
840,25,2,4000,22
841,25,2,5000,25
842,25,2,6000,22
843,25,2,7000,25
844,25,2,8000,22
845,25,2,9000,26
846,25,2,10000,25
847,25,3,0,22
848,25,3,1000,22
849,25,3,2000,24
850,25,3,3000,26
851,25,3,4000,23
852,25,3,5000,22
853,25,3,6000,25
854,25,3,7000,24
855,25,3,8000,22
856,25,3,9000,28
857,25,3,10000,27
858,26,1,0,20
859,26,1,1000,23
860,26,1,2000,20
861,26,1,3000,24
862,26,1,4000,22
863,26,1,5000,20
864,26,1,6000,23
865,26,1,7000,22
866,26,1,8000,24
867,26,1,9000,22
868,26,1,10000,22
869,26,2,0,22
870,26,2,1000,24
871,26,2,2000,21
872,26,2,3000,23
873,26,2,4000,24
874,26,2,5000,24
875,26,2,6000,23
876,26,2,7000,22
877,26,2,8000,23
878,26,2,9000,28
879,26,2,10000,21
880,26,3,0,23
881,26,3,1000,24
882,26,3,2000,22
883,26,3,3000,23
884,26,3,4000,23
885,26,3,5000,22
886,26,3,6000,23
887,26,3,7000,23
888,26,3,8000,25
889,26,3,9000,25
890,26,3,10000,23
891,27,1,0,21
892,27,1,1000,22
893,27,1,2000,23
894,27,1,3000,22
895,27,1,4000,24
896,27,1,5000,23
897,27,1,6000,20
898,27,1,7000,23
899,27,1,8000,22
900,27,1,9000,22
901,27,1,10000,23
902,27,2,0,21
903,27,2,1000,23
904,27,2,2000,23
905,27,2,3000,24
906,27,2,4000,24
907,27,2,5000,23
908,27,2,6000,24
909,27,2,7000,23
910,27,2,8000,22
911,27,2,9000,27
912,27,2,10000,27
913,27,3,0,24
914,27,3,1000,24
915,27,3,2000,25
916,27,3,3000,25
917,27,3,4000,24
918,27,3,5000,23
919,27,3,6000,25
920,27,3,7000,24
921,27,3,8000,24
922,27,3,9000,25
923,27,3,10000,26
924,28,1,0,22
925,28,1,1000,23
926,28,1,2000,23
927,28,1,3000,21
928,28,1,4000,22
929,28,1,5000,24
930,28,1,6000,23
931,28,1,7000,21
932,28,1,8000,21
933,28,1,9000,23
934,28,1,10000,22
935,28,2,0,22
936,28,2,1000,23
937,28,2,2000,26
938,28,2,3000,23
939,28,2,4000,23
940,28,2,5000,24
941,28,2,6000,25
942,28,2,7000,25
943,28,2,8000,23
944,28,2,9000,23
945,28,2,10000,22
946,28,3,0,23
947,28,3,1000,25
948,28,3,2000,26
949,28,3,3000,25
950,28,3,4000,24
951,28,3,5000,24
952,28,3,6000,25
953,28,3,7000,24
954,28,3,8000,23
955,28,3,9000,22
956,28,3,10000,23
957,29,1,0,22
958,29,1,1000,23
959,29,1,2000,24
960,29,1,3000,23
961,29,1,4000,21
962,29,1,5000,23
963,29,1,6000,21
964,29,1,7000,22
965,29,1,8000,21
966,29,1,9000,22
967,29,1,10000,23
968,29,2,0,23
969,29,2,1000,24
970,29,2,2000,23
971,29,2,3000,24
972,29,2,4000,23
973,29,2,5000,24
974,29,2,6000,25
975,29,2,7000,22
976,29,2,8000,22
977,29,2,9000,24
978,29,2,10000,24
979,29,3,0,23
980,29,3,1000,23
981,29,3,2000,25
982,29,3,3000,24
983,29,3,4000,24
984,29,3,5000,25
985,29,3,6000,25
986,29,3,7000,25
987,29,3,8000,23
988,29,3,9000,24
989,29,3,10000,24
990,30,1,0,20
991,30,1,1000,21
992,30,1,2000,24
993,30,1,3000,21
994,30,1,4000,21
995,30,1,5000,20
996,30,1,6000,19
997,30,1,7000,23
998,30,1,8000,21
999,30,1,9000,21
1000,30,1,10000,23
1001,30,2,0,23
1002,30,2,1000,23
1003,30,2,2000,24
1004,30,2,3000,23
1005,30,2,4000,22
1006,30,2,5000,23
1007,30,2,6000,24
1008,30,2,7000,22
