task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
61,1,3,6000,28,,0,103,0.005538284778594971,0.005537490360438824,131.79714965820312,11.480294227600098,5.652626037597656,0.9998606038488242,28
259,7,3,6000,26,,0,160,0.004142895340919495,0.004142895340919495,102.589111328125,10.128628730773926,4.988155841827393,0.999896566667931,26
292,8,3,6000,26,,0,160,0.00030551457894034684,0.00030551457894034684,1030.1131591796875,32.095375061035156,16.344730377197266,0.9990645649548546,26
313,9,2,5000,26,,0,160,0.0021219635382294655,0.0021219635382294655,2261.1015625,47.55104064941406,24.911235809326172,0.9978741308027559,26
365,11,1,2000,21,,0,144,0.0005107627366669476,0.0005106019671075046,3706.308837890625,60.87946319580078,27.860179901123047,0.9968620962260621,21
492,14,3,8000,27,,0,160,0.0001243117148987949,0.0001243117148987949,185.58273315429688,13.622875213623047,6.700735569000244,0.9998116570600122,27
531,16,1,3000,23,,0,150,1.8085622286889702e-05,1.770438211678993e-05,78.18063354492188,8.841980934143066,4.107412815093994,0.9999353892913329,23
566,17,1,5000,20,,0,115,1.0176061095990008e-06,1.0013852715928806e-06,6.952841758728027,2.636824131011963,1.3557218313217163,0.9999941809764165,20
638,19,2,0,22,,0,129,0.0004767118953168392,0.00047641777200624347,1427.09130859375,37.77686309814453,18.11958122253418,0.9988719352599373,22
667,20,1,7000,22,,0,90,0.001426983275450766,0.0014269169187173247,3867.982666015625,62.19310760498047,31.989397048950195,0.9966842292349837,22
713,21,2,9000,30,,0,160,0.00380630767904222,0.00380630767904222,263.6561584472656,16.237491607666016,8.560887336730957,0.9997358756642754,30
740,22,2,3000,26,,0,157,0.0005095222149975598,0.0005087176687084138,1192.5953369140625,34.533973693847656,14.360836029052734,0.998934772829281,26
763,23,1,4000,24,,0,160,0.0005414580809883773,0.0005414580809883773,475.4156188964844,21.804027557373047,12.086662292480469,0.9995970569777485,24
767,23,1,8000,21,,0,110,0.011456524021923542,0.011455812491476536,2111.9404296875,45.95585250854492,28.616737365722656,0.9982572940592125,21
782,23,3,1000,23,,0,133,9.95191658148542e-05,9.949840750778094e-05,369.32940673828125,19.217945098876953,10.719450950622559,0.9996967855362741,23
815,24,3,1000,26,,0,122,0.0004860607150476426,0.0004859234904870391,4.30460786819458,2.0747549533843994,1.1487244367599487,0.9999963527995637,26
964,29,1,7000,22,,0,113,0.0006410342757590115,0.0006405960884876549,3889.0341796875,62.36212158203125,28.410655975341797,0.9966709332284149,22
1065,32,1,9000,22,,0,160,3.1257040973287076e-05,3.1257040973287076e-05,201.27874755859375,14.187273979187012,6.140580654144287,0.9998315195851789,22
1087,32,3,9000,23,,0,132,0.0018959768349304795,0.001895496272481978,8221.6640625,90.67339324951172,40.91868591308594,0.9928616177137483,23
1173,35,2,7000,27,,0,122,0.013007286936044693,0.013006407767534256,1964.9713134765625,44.32799530029297,23.185829162597656,0.9981828269925039,27
1176,35,2,10000,25,,0,158,0.0003957078151870519,0.00039567917701788247,2225.297119140625,47.17305374145508,18.712013244628906,0.998005555502311,25
1289,39,1,2000,21,,0,54,0.0029165653977543116,0.0029158364050090313,944.9481201171875,30.740009307861328,15.994409561157227,0.9992351053393531,21
1346,40,3,4000,23,,0,82,0.011479182168841362,0.011479121632874012,670.31689453125,25.890478134155273,12.275634765625,0.9994341507975809,23
1377,41,3,2000,27,,0,160,0.0011304272338747978,0.0011304272338747978,399.4353332519531,19.985877990722656,8.67613410949707,0.9996543407680851,27
1518,46,1,0,20,,0,88,0.0013167686993256211,0.0013167686993256211,3124.85205078125,55.90037536621094,33.426734924316406,0.9977652018381356,20
1585,48,1,1000,20,,0,148,0.0010906789684668183,0.0010906605748459697,6324.01513671875,79.52367401123047,36.39314270019531,0.9954584574344895,20
1625,49,1,8000,24,,0,128,0.0012292347382754087,0.001228637178428471,3164.908203125,56.25751495361328,26.857595443725586,0.9972921101016267,24
1673,50,3,1000,21,,0,93,0.0015057483687996864,0.0015057483687996864,4531.78466796875,67.31853485107422,32.85591125488281,0.9966101008788577,21
1679,50,3,7000,24,,0,101,0.0032775343861430883,0.0032770198304206133,1286.6781005859375,35.870296478271484,15.860343933105469,0.998885565256547,24
1811,54,3,7000,26,,0,88,0.00300620892085135,0.0030059702694416046,3299.148193359375,57.43821334838867,21.711286544799805,0.9970361084849408,26
1892,57,2,0,22,,0,115,0.0001064132375176996,0.00010616864892654121,276.7364501953125,16.63539695739746,7.849293231964111,0.9997886830374435,22
1900,57,2,8000,25,,0,160,0.00036779860965907574,0.00036779860965907574,594.248291015625,24.377208709716797,12.653019905090332,0.9994606173816902,25
1975,59,3,6000,27,,0,160,0.000378623662982136,0.000378623662982136,1887.4217529296875,43.44446563720703,20.39120864868164,0.9982990635860695,27
2011,60,3,9000,28,,0,160,0.0006218134658411145,0.0006218134658411145,3373.891845703125,58.08521270751953,21.594013214111328,0.9967489424610979,28
2066,62,2,9000,23,,0,160,1.2687879461736884e-05,1.2687879461736884e-05,15.602910995483398,3.95005202293396,1.5793160200119019,0.9999869818920705,23
2307,69,3,8000,23,,0,160,0.001949226250872016,0.001949226250872016,3856.717041015625,62.10247039794922,29.476533889770508,0.9966998619007267,23
2330,70,2,9000,27,,0,160,0.0006266135605983436,0.0006266135605983436,2044.03515625,45.21100616455078,24.249706268310547,0.9981487896687773,27
2334,70,3,2000,22,,0,144,1.1316119525872637e-06,1.3545054855512717e-07,3.9818036556243896,1.995445728302002,1.0618970394134521,0.9999969110062601,22
2420,73,2,0,24,,0,160,0.000442355900304392,0.000442355900304392,642.9154663085938,25.355777740478516,11.163945198059082,0.9994831253148144,24
2563,77,3,0,25,,0,103,0.0011177101405337453,0.0011169277131557465,830.2393188476562,28.813873291015625,15.092419624328613,0.9993443475229192,25
2619,79,2,1000,23,,0,136,9.312789188697934e-05,9.248694550478831e-05,434.886474609375,20.853931427001953,8.943861961364746,0.9996676238177673,23
2725,82,2,8000,22,,0,113,0.0005536003736779094,0.0005528289475478232,1744.88330078125,41.77180099487305,25.75030517578125,0.9985876885366275,22
2765,83,3,4000,21,,0,158,0.0004923578817397356,0.0004920986830256879,1839.26416015625,42.88664245605469,19.404394149780273,0.9985474223218826,21
2931,88,3,5000,23,,0,160,0.00019692890055011958,0.00019692890055011958,866.7877807617188,29.441259384155273,15.40616226196289,0.9992479928885539,23
2957,89,2,9000,25,,0,160,0.001998046413064003,0.001998046413064003,523.1183471679688,22.871780395507812,10.36538314819336,0.9995433877852402,25
3038,92,1,2000,22,,0,110,9.060873367161548e-07,3.50609177246497e-08,1.1872621774673462,1.0896155834197998,0.5528771877288818,0.9999990822946675,22
3065,92,3,7000,24,,0,160,0.0005206401692703366,0.0005206401692703366,1012.4945678710938,31.819719314575195,15.485581398010254,0.9991313626045789,24
3085,93,2,5000,23,,0,160,0.0002510599442757666,0.0002510599442757666,557.1155395507812,23.603294372558594,11.6006498336792,0.9995558524373314,23
3099,93,3,8000,24,,0,160,0.0005343059892766178,0.0005343059892766178,2194.669921875,46.84730529785156,20.23366355895996,0.998103268652041,24
3251,98,2,6000,23,,0,160,6.041329470463097e-05,6.041329470463097e-05,184.51942443847656,13.583792686462402,5.97920036315918,0.9998434010211894,23
3350,101,2,6000,24,,0,92,0.0004226433811709285,0.0004216941597405821,1012.1973266601562,31.815048217773438,14.239241600036621,0.9991395932203522,24
3435,104,1,3000,22,,0,160,0.00012184060324216262,0.00012184060324216262,776.8350219726562,27.87175941467285,13.662349700927734,0.9993661572117557,22
3448,104,2,5000,23,,0,120,0.0005684319185093045,0.0005682147457264364,1923.9786376953125,43.863182067871094,23.689729690551758,0.9984353245513109,23
3595,108,3,9000,25,,0,154,0.0005889729945920408,0.0005888475570827723,243.84292602539062,15.615470886230469,7.955169677734375,0.9997778049054429,25
3643,110,2,2000,25,,0,160,0.006809281185269356,0.006809281185269356,207.61593627929688,14.408884048461914,6.007891654968262,0.9998234108256603,25
3651,110,2,10000,24,,0,158,1.446081751055317e-05,1.4141302926873323e-05,88.99248504638672,9.43358325958252,4.580918788909912,0.9999228166414905,24
3663,111,1,0,19,,0,74,0.0006699884543195367,0.0006699140067212284,1408.1929931640625,37.52589797973633,19.057233810424805,0.9989774770737635,19
3685,111,3,0,21,,0,155,4.223259111313382e-06,3.896687758242479e-06,8.66308307647705,2.9433116912841797,1.633906364440918,0.9999934244609104,21
