task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
15,0,2,4000,35,,0,140,0.0010550193255767226,0.0010550193255767226,1731.44384765625,41.61062240600586,19.54877281188965,0.9971301041366789,35
16,0,2,5000,33,,0,140,0.002295150887221098,0.002295150887221098,1522.4237060546875,39.01824951171875,19.89590835571289,0.9975672981077758,33
17,0,2,6000,35,,0,140,0.0009212383301928639,0.0009212383301928639,1834.608642578125,42.832332611083984,20.95952033996582,0.9968466014613901,35
18,0,2,7000,36,,0,140,0.005110373254865408,0.005110373254865408,1791.974365234375,42.33171844482422,22.730504989624023,0.9969445669036692,36
19,0,2,8000,33,,0,140,0.0017696247668936849,0.0017696247668936849,658.2366943359375,25.656124114990234,11.932663917541504,0.9989039925519126,33
20,0,2,9000,39,,0,140,0.0017095929943025112,0.0017095929943025112,764.139404296875,27.6430721282959,12.937554359436035,0.998618801096867,39
21,0,2,10000,34,,0,140,0.004463804420083761,0.004463804420083761,1097.6954345703125,33.13148880004883,14.743155479431152,0.9981491507333718,34
22,0,3,0,28,,0,121,0.0020198551937937737,0.0020198551937937737,315.43035888671875,17.760358810424805,10.333677291870117,0.9995242116314632,28
23,0,3,1000,26,,0,140,0.0062615699134767056,0.0062615699134767056,4918.1611328125,70.12960052490234,30.979034423828125,0.9927481817146925,26
24,0,3,2000,33,,0,109,0.0019672184716910124,0.0019672184716910124,1195.4779052734375,34.57568359375,17.35275650024414,0.9980700449539933,33
25,0,3,3000,34,,0,140,0.0012566969962790608,0.0012566969962790608,743.4898681640625,27.267009735107422,13.562599182128906,0.9987255428165643,34
26,0,3,4000,34,,0,140,0.0025526853278279305,0.0025526853278279305,1740.396728515625,41.71806335449219,23.56947135925293,0.9970351471664012,34
27,0,3,5000,32,,0,140,0.002359554171562195,0.002359554171562195,1877.61083984375,43.33140563964844,25.086475372314453,0.996986031671863,32
28,0,3,6000,34,,0,140,0.003547677770256996,0.003547677770256996,1647.835205078125,40.593536376953125,22.583450317382812,0.9971407119531788,34
29,0,3,7000,34,,0,140,0.0063021620735526085,0.0063021620735526085,1689.5313720703125,41.10390853881836,21.9547176361084,0.997160148542415,34
30,0,3,8000,33,,0,140,0.009954556822776794,0.009954556822776794,985.9046020507812,31.399118423461914,15.418951034545898,0.9982997400384477,33
31,0,3,9000,36,,0,139,0.0002164839388569817,0.00021558671141974628,281.4345397949219,16.776010513305664,8.186680793762207,0.9994962620307174,36
32,0,3,10000,37,,0,140,0.005236723925918341,0.005236723925918341,454.1582946777344,21.310989379882812,9.075871467590332,0.999176460205791,37
33,1,1,0,27,,0,140,0.00042766370461322367,0.00042766370461322367,894.04443359375,29.900575637817383,13.781497955322266,0.9986787190023443,27
34,1,1,1000,28,,0,47,0.00892173033207655,0.0089208809658885,2766.84521484375,52.60081100463867,33.28886795043945,0.9960465073427857,28
35,1,1,2000,34,,0,140,0.004129060078412294,0.004129060078412294,3669.063720703125,60.57279586791992,27.047765731811523,0.9940974776017871,34
36,1,1,3000,33,,0,35,0.010003364644944668,0.01000251155346632,1085.6234130859375,32.94879913330078,16.983415603637695,0.9982304401368615,33
37,1,1,4000,31,,0,140,0.0018896207911893725,0.0018896207911893725,3424.904296875,58.522682189941406,30.62759780883789,0.9945455916218006,31
38,1,1,5000,30,,0,140,0.004839897155761719,0.004839897155761719,1528.309326171875,39.093597412109375,22.80739402770996,0.997689601711401,30
39,1,1,6000,32,,0,140,0.004300533328205347,0.004300533328205347,2420.4267578125,49.19783401489258,27.64349937438965,0.995903304801567,32
40,1,1,7000,31,,0,86,0.002290626522153616,0.0022905024234205484,1753.5413818359375,41.875308990478516,23.041954040527344,0.9971690705813802,31
41,1,1,8000,34,,0,140,0.0019044344080612063,0.0019044344080612063,1522.061279296875,39.01360321044922,21.541723251342773,0.9974287898325747,34
42,1,1,9000,37,,0,140,0.0008317594765685499,0.0008317594765685499,1262.6370849609375,35.53360366821289,16.515003204345703,0.9977415024604939,37
43,1,1,10000,33,,0,140,0.001979496330022812,0.001979496330022812,2333.015625,48.301300048828125,23.147598266601562,0.9960772873639644,33
44,1,2,0,32,,0,138,0.0005115238018333912,0.0005107485339976847,1231.6331787109375,35.09463119506836,15.430049896240234,0.9981081738894741,32
45,1,2,1000,35,,0,140,0.001679576002061367,0.001679576002061367,1195.853515625,34.58111572265625,16.96648597717285,0.9980710686783932,35
46,1,2,2000,37,,0,140,0.0038030180148780346,0.0038030180148780346,2242.235107421875,47.35224533081055,23.629974365234375,0.9961949179030304,37
47,1,2,3000,34,,0,140,0.02205851301550865,0.02205851301550865,7580.341796875,87.06515502929688,35.648582458496094,0.9876961614307168,34
48,1,2,4000,35,,0,140,0.0025190371088683605,0.0025190371088683605,540.8655395507812,23.256515502929688,13.519255638122559,0.9991050196607923,35
49,1,2,5000,35,,0,140,0.00580218993127346,0.00580218993127346,1364.2259521484375,36.935428619384766,16.777294158935547,0.9977297490687875,35
50,1,2,6000,34,,0,138,0.002808621386066079,0.0028078709729015827,4747.82421875,68.90445709228516,34.66381072998047,0.9921670391860129,34
51,1,2,7000,37,,0,140,0.0007141451351344585,0.0007141451351344585,473.4939270019531,21.759916305541992,10.5303316116333,0.9991857952705657,37
52,1,2,8000,38,,0,96,0.0012738658115267754,0.0012730690650641918,1345.3851318359375,36.67949295043945,15.031759262084961,0.9976445885355987,38
53,1,2,9000,38,,0,97,0.002941020531579852,0.002941020531579852,422.89044189453125,20.564300537109375,11.022003173828125,0.9992456110489428,38
