task_id,WL,Retention,PEC,num_points
0,0,1,0,20
1,0,1,1000,18
2,0,1,2000,19
3,0,1,3000,22
4,0,1,4000,21
5,0,1,5000,22
6,0,1,6000,21
7,0,1,7000,20
8,0,1,8000,22
9,0,1,9000,21
10,0,1,10000,22
11,0,2,0,19
12,0,2,1000,20
13,0,2,2000,21
14,0,2,3000,22
15,0,2,4000,21
16,0,2,5000,21
17,0,2,6000,23
18,0,2,7000,24
19,0,2,8000,23
20,0,2,9000,23
21,0,2,10000,23
22,0,3,0,21
23,0,3,1000,22
24,0,3,2000,21
25,0,3,3000,21
26,0,3,4000,21
27,0,3,5000,21
28,0,3,6000,22
29,0,3,7000,23
30,0,3,8000,23
31,0,3,9000,23
32,0,3,10000,23
33,1,1,0,19
34,1,1,1000,18
35,1,1,2000,19
36,1,1,3000,22
37,1,1,4000,20
38,1,1,5000,21
39,1,1,6000,20
40,1,1,7000,21
41,1,1,8000,22
42,1,1,9000,21
43,1,1,10000,23
44,1,2,0,18
45,1,2,1000,20
46,1,2,2000,20
47,1,2,3000,20
48,1,2,4000,20
49,1,2,5000,21
50,1,2,6000,20
51,1,2,7000,21
52,1,2,8000,22
53,1,2,9000,22
54,1,2,10000,23
55,1,3,0,20
56,1,3,1000,21
57,1,3,2000,21
58,1,3,3000,20
59,1,3,4000,21
60,1,3,5000,21
61,1,3,6000,21
62,1,3,7000,22
63,1,3,8000,22
64,1,3,9000,22
65,1,3,10000,24
66,2,1,0,19
67,2,1,1000,19
68,2,1,2000,20
69,2,1,3000,20
70,2,1,4000,21
71,2,1,5000,20
72,2,1,6000,21
73,2,1,7000,23
74,2,1,8000,20
75,2,1,9000,21
76,2,1,10000,21
77,2,2,0,20
78,2,2,1000,20
79,2,2,2000,19
80,2,2,3000,20
81,2,2,4000,21
82,2,2,5000,20
83,2,2,6000,22
84,2,2,7000,21
85,2,2,8000,22
86,2,2,9000,23
87,2,2,10000,22
88,2,3,0,20
89,2,3,1000,21
90,2,3,2000,20
91,2,3,3000,21
92,2,3,4000,20
93,2,3,5000,21
94,2,3,6000,22
95,2,3,7000,21
96,2,3,8000,21
97,2,3,9000,23
98,2,3,10000,23
99,3,1,0,18
100,3,1,1000,19
101,3,1,2000,19
102,3,1,3000,22
103,3,1,4000,19
104,3,1,5000,19
105,3,1,6000,21
106,3,1,7000,20
107,3,1,8000,21
108,3,1,9000,20
109,3,1,10000,21
110,3,2,0,19
111,3,2,1000,19
112,3,2,2000,21
113,3,2,3000,24
114,3,2,4000,19
115,3,2,5000,20
116,3,2,6000,22
117,3,2,7000,20
118,3,2,8000,21
119,3,2,9000,23
120,3,2,10000,21
121,3,3,0,20
122,3,3,1000,20
123,3,3,2000,20
124,3,3,3000,23
125,3,3,4000,21
126,3,3,5000,22
127,3,3,6000,22
128,3,3,7000,22
129,3,3,8000,22
130,3,3,9000,22
131,3,3,10000,20
132,4,1,0,19
133,4,1,1000,20
134,4,1,2000,18
135,4,1,3000,19
136,4,1,4000,21
137,4,1,5000,20
138,4,1,6000,21
139,4,1,7000,20
140,4,1,8000,22
141,4,1,9000,22
142,4,1,10000,22
143,4,2,0,20
144,4,2,1000,20
145,4,2,2000,20
146,4,2,3000,19
147,4,2,4000,23
148,4,2,5000,23
149,4,2,6000,22
150,4,2,7000,21
151,4,2,8000,21
152,4,2,9000,21
153,4,2,10000,21
154,4,3,0,19
155,4,3,1000,21
156,4,3,2000,20
157,4,3,3000,20
158,4,3,4000,21
159,4,3,5000,23
160,4,3,6000,21
161,4,3,7000,21
162,4,3,8000,21
163,4,3,9000,23
164,4,3,10000,22
165,5,1,0,22
166,5,1,1000,20
167,5,1,2000,21
168,5,1,3000,21
169,5,1,4000,20
170,5,1,5000,19
171,5,1,6000,20
172,5,1,7000,20
173,5,1,8000,21
174,5,1,9000,21
175,5,1,10000,19
176,5,2,0,20
177,5,2,1000,20
178,5,2,2000,19
179,5,2,3000,21
180,5,2,4000,21
181,5,2,5000,21
182,5,2,6000,20
183,5,2,7000,21
184,5,2,8000,20
185,5,2,9000,22
186,5,2,10000,23
187,5,3,0,21
188,5,3,1000,21
189,5,3,2000,19
190,5,3,3000,22
191,5,3,4000,21
192,5,3,5000,21
193,5,3,6000,22
194,5,3,7000,22
195,5,3,8000,21
196,5,3,9000,23
197,5,3,10000,22
198,6,1,0,19
199,6,1,1000,19
200,6,1,2000,18
201,6,1,3000,19
202,6,1,4000,19
203,6,1,5000,20
204,6,1,6000,21
205,6,1,7000,20
206,6,1,8000,21
207,6,1,9000,20
208,6,1,10000,21
209,6,2,0,20
210,6,2,1000,20
211,6,2,2000,19
212,6,2,3000,19
213,6,2,4000,21
214,6,2,5000,21
215,6,2,6000,20
216,6,2,7000,22
217,6,2,8000,22
218,6,2,9000,21
219,6,2,10000,22
220,6,3,0,21
221,6,3,1000,21
222,6,3,2000,19
223,6,3,3000,20
224,6,3,4000,20
225,6,3,5000,21
226,6,3,6000,21
227,6,3,7000,22
228,6,3,8000,22
229,6,3,9000,22
230,6,3,10000,21
231,7,1,0,19
232,7,1,1000,18
233,7,1,2000,20
234,7,1,3000,20
235,7,1,4000,20
236,7,1,5000,20
237,7,1,6000,20
238,7,1,7000,21
239,7,1,8000,21
240,7,1,9000,21
241,7,1,10000,22
242,7,2,0,20
243,7,2,1000,20
244,7,2,2000,21
245,7,2,3000,22
246,7,2,4000,19
247,7,2,5000,20
248,7,2,6000,22
249,7,2,7000,20
250,7,2,8000,22
251,7,2,9000,23
252,7,2,10000,22
253,7,3,0,20
254,7,3,1000,19
255,7,3,2000,21
256,7,3,3000,23
257,7,3,4000,19
258,7,3,5000,22
259,7,3,6000,22
260,7,3,7000,22
261,7,3,8000,21
262,7,3,9000,22
263,7,3,10000,22
264,8,1,0,19
265,8,1,1000,20
266,8,1,2000,20
267,8,1,3000,21
268,8,1,4000,19
269,8,1,5000,20
270,8,1,6000,22
271,8,1,7000,21
272,8,1,8000,23
273,8,1,9000,20
274,8,1,10000,20
275,8,2,0,21
276,8,2,1000,21
277,8,2,2000,21
278,8,2,3000,20
279,8,2,4000,20
280,8,2,5000,21
281,8,2,6000,22
282,8,2,7000,21
283,8,2,8000,23
284,8,2,9000,23
285,8,2,10000,22
286,8,3,0,20
287,8,3,1000,21
288,8,3,2000,21
289,8,3,3000,22
290,8,3,4000,21
291,8,3,5000,22
292,8,3,6000,23
293,8,3,7000,21
294,8,3,8000,22
295,8,3,9000,23
296,8,3,10000,22
297,9,1,0,20
298,9,1,1000,19
299,9,1,2000,20
300,9,1,3000,20
301,9,1,4000,20
302,9,1,5000,21
303,9,1,6000,21
304,9,1,7000,21
305,9,1,8000,22
306,9,1,9000,21
307,9,1,10000,18
308,9,2,0,20
309,9,2,1000,21
310,9,2,2000,20
311,9,2,3000,21
312,9,2,4000,21
313,9,2,5000,21
314,9,2,6000,21
315,9,2,7000,22
316,9,2,8000,21
317,9,2,9000,23
318,9,2,10000,22
319,9,3,0,20
320,9,3,1000,19
321,9,3,2000,20
322,9,3,3000,21
323,9,3,4000,23
324,9,3,5000,21
325,9,3,6000,22
326,9,3,7000,22
327,9,3,8000,21
328,9,3,9000,23
329,9,3,10000,23
330,10,1,0,19
331,10,1,1000,18
332,10,1,2000,20
333,10,1,3000,19
334,10,1,4000,21
335,10,1,5000,20
336,10,1,6000,19
337,10,1,7000,21
338,10,1,8000,21
339,10,1,9000,21
340,10,1,10000,21
341,10,2,0,20
342,10,2,1000,21
343,10,2,2000,20
344,10,2,3000,22
345,10,2,4000,20
346,10,2,5000,21
347,10,2,6000,22
348,10,2,7000,20
349,10,2,8000,21
350,10,2,9000,23
351,10,2,10000,22
352,10,3,0,20
353,10,3,1000,21
354,10,3,2000,20
355,10,3,3000,21
356,10,3,4000,21
357,10,3,5000,21
358,10,3,6000,21
359,10,3,7000,22
360,10,3,8000,22
361,10,3,9000,23
362,10,3,10000,22
363,11,1,0,20
364,11,1,1000,19
365,11,1,2000,18
366,11,1,3000,21
367,11,1,4000,20
368,11,1,5000,20
369,11,1,6000,21
370,11,1,7000,21
371,11,1,8000,22
372,11,1,9000,21
373,11,1,10000,19
374,11,2,0,19
375,11,2,1000,19
376,11,2,2000,19
377,11,2,3000,19
378,11,2,4000,21
379,11,2,5000,22
380,11,2,6000,21
381,11,2,7000,22
382,11,2,8000,21
383,11,2,9000,22
384,11,2,10000,22
385,11,3,0,20
386,11,3,1000,19
387,11,3,2000,21
388,11,3,3000,20
389,11,3,4000,20
390,11,3,5000,22
391,11,3,6000,21
392,11,3,7000,21
393,11,3,8000,23
394,11,3,9000,24
395,11,3,10000,22
396,12,1,0,21
397,12,1,1000,20
398,12,1,2000,20
399,12,1,3000,21
400,12,1,4000,19
401,12,1,5000,19
402,12,1,6000,19
403,12,1,7000,20
404,12,1,8000,20
405,12,1,9000,21
406,12,1,10000,20
407,12,2,0,20
408,12,2,1000,21
409,12,2,2000,20
410,12,2,3000,20
411,12,2,4000,21
412,12,2,5000,21
413,12,2,6000,22
414,12,2,7000,22
415,12,2,8000,22
416,12,2,9000,22
417,12,2,10000,22
418,12,3,0,20
419,12,3,1000,21
420,12,3,2000,20
421,12,3,3000,21
422,12,3,4000,22
423,12,3,5000,21
424,12,3,6000,20
425,12,3,7000,22
426,12,3,8000,22
427,12,3,9000,22
428,12,3,10000,22
429,13,1,0,21
430,13,1,1000,19
431,13,1,2000,19
432,13,1,3000,19
