task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
0,0,1,0,20,,0,39,0.004941427614539862,0.004941060207784176,2280.990234375,47.75971221923828,23.869558334350586,0.9982406005914273,20
1,0,1,1000,18,,0,85,0.03678588941693306,0.0367850586771965,3897.7373046875,62.431861877441406,39.29581069946289,0.9970589472692984,18
2,0,1,2000,19,,0,140,0.0010240565752610564,0.0010240565752610564,4349.04296875,65.94727325439453,35.1663703918457,0.9965916186931338,19
3,0,1,3000,22,,0,63,0.000852688797749579,0.0008526723831892014,1398.09033203125,37.39104461669922,18.449928283691406,0.998848806330794,22
4,0,1,4000,21,,0,56,0.0019271356286481023,0.0019266246818006039,5154.1044921875,71.7920913696289,36.84592819213867,0.9958508745101662,21
5,0,1,5000,22,,0,140,0.003019187366589904,0.003019187366589904,7458.6845703125,86.36367797851562,47.423709869384766,0.9938492349124386,22
6,0,1,6000,21,,0,74,0.0019301839638501406,0.0019301839638501406,2860.482666015625,53.48347854614258,31.839487075805664,0.9975744218779027,21
7,0,1,7000,20,,0,35,0.004829482175409794,0.004829062148928642,4670.09619140625,68.33810424804688,44.37922668457031,0.996054354330047,20
8,0,1,8000,22,,0,52,0.008962760679423809,0.00896215345710516,2834.21826171875,53.23737716674805,30.799776077270508,0.9976383376239238,22
9,0,1,9000,21,,0,115,0.0004397353914100677,0.00043958501191809773,747.71923828125,27.34445571899414,13.928546905517578,0.9993365286156748,21
10,0,1,10000,22,,0,84,0.006537308916449547,0.006537106819450855,5998.08642578125,77.44731140136719,44.59079360961914,0.9949061663942316,22
11,0,2,0,19,,0,58,0.0005629732040688396,0.0005620177835226059,1528.2596435546875,39.092960357666016,25.021289825439453,0.998851775149377,19
12,0,2,1000,20,,0,55,0.002189293969422579,0.002189293969422579,2039.354248046875,45.159210205078125,27.28781509399414,0.9984278322634942,20
13,0,2,2000,21,,0,27,0.0017211998347193003,0.001720339059829712,2174.651611328125,46.63315963745117,26.171741485595703,0.9982626527378754,21
14,0,2,3000,22,,0,138,0.0003002145967911929,0.0002992728550452739,105.0423355102539,10.249016761779785,5.678354263305664,0.999914592804027,22
15,0,2,4000,21,,0,27,0.007461589761078358,0.007461498957127333,2483.8583984375,49.838321685791016,29.478239059448242,0.9979631006651846,21
16,0,2,5000,21,,0,32,0.004338293336331844,0.0043382905423641205,1648.4361572265625,40.60093688964844,22.5040283203125,0.9986542851193261,21
17,0,2,6000,23,,0,53,0.0018148280214518309,0.0018143532797694206,3131.50927734375,55.95988845825195,28.3077392578125,0.9971534062386165,23
18,0,2,7000,24,,0,36,0.008006004616618156,0.008005290292203426,1060.3436279296875,32.56291961669922,19.788955688476562,0.9990510588477067,24
19,0,2,8000,23,,0,86,0.008900969289243221,0.008900969289243221,2368.7666015625,48.66997528076172,22.586536407470703,0.9978861957340435,23
20,0,2,9000,23,,0,53,0.00500834034755826,0.005007887724786997,2724.802978515625,52.19964599609375,28.38127326965332,0.9974608851424012,23
21,0,2,10000,23,,0,43,0.010777488350868225,0.010777127929031849,890.43798828125,29.840208053588867,18.469058990478516,0.9992017590325929,23
22,0,3,0,21,,0,86,0.0011212078388780355,0.0011206218041479588,463.686279296875,21.533376693725586,14.394086837768555,0.9996311945768351,21
23,0,3,1000,22,,0,43,0.00676684407517314,0.00676629226654768,2299.07177734375,47.94863510131836,23.8758544921875,0.9981220739399359,22
24,0,3,2000,21,,0,78,0.0013808300718665123,0.0013800316955894232,6178.10400390625,78.60091400146484,42.8149528503418,0.9951022467789484,21
25,0,3,3000,21,,0,85,0.0009692980092950165,0.0009690753067843616,1514.444091796875,38.91585922241211,23.530052185058594,0.9987476073354252,21
26,0,3,4000,21,,0,84,0.0026949362363666296,0.002694482449442148,2599.772216796875,50.98796081542969,28.39168357849121,0.9978320861581788,21
27,0,3,5000,21,,0,107,0.005819247104227543,0.005818735342472792,1708.3145751953125,41.33176040649414,22.65018081665039,0.9985753668630685,21
28,0,3,6000,22,,0,25,0.02813185565173626,0.02813185565173626,10204.3759765625,101.01670837402344,60.1318244934082,0.9909978353025886,22
29,0,3,7000,23,,0,19,3.6874866485595703,3.6874866485595703,1306949.875,1143.2191162109375,729.5679321289062,-0.18958524224259543,23
30,0,3,8000,23,,0,67,0.0029717872384935617,0.0029715232085436583,4163.47802734375,64.52501678466797,35.21380615234375,0.9962557090881896,23
31,0,3,9000,23,,0,84,0.01983613893389702,0.01983613893389702,685.93408203125,26.190343856811523,17.326383590698242,0.9993573058816395,23
32,0,3,10000,23,,0,140,0.0019504795782268047,0.0019504795782268047,2779.888427734375,52.724647521972656,29.33904457092285,0.9974474868376794,23
33,1,1,0,19,,0,140,0.00011324880324536934,0.00011324880324536934,767.3200073242188,27.700542449951172,15.11029052734375,0.9993991782379074,19
34,1,1,1000,18,,0,46,0.018996797502040863,0.018996288999915123,9842.0458984375,99.20708465576172,63.12149429321289,0.9924518273281988,18
35,1,1,2000,19,,0,62,0.0025423113256692886,0.002541820053011179,1674.9183349609375,40.92576599121094,17.78702163696289,0.9986500853339253,19
36,1,1,3000,22,,0,52,0.002633885946124792,0.002633670112118125,4211.30712890625,64.89458465576172,28.402193069458008,0.9964046233438811,22
37,1,1,4000,20,,0,140,0.00010451026901137084,0.00010451026901137084,178.2053680419922,13.349358558654785,6.3306074142456055,0.9998550266271398,20
38,1,1,5000,21,,0,22,0.00885851215571165,0.008858464658260345,5582.8974609375,74.71878814697266,37.29036331176758,0.9952288971300068,21
39,1,1,6000,20,,0,99,0.0019149616127833724,0.0019140889635309577,4698.20166015625,68.54342651367188,40.919681549072266,0.996024437136259,20
40,1,1,7000,21,,0,42,0.0019439503084868193,0.00194301619194448,2201.1962890625,46.916908264160156,28.07881736755371,0.9981051369012325,21
41,1,1,8000,22,,0,48,0.0033768678549677134,0.0033765549305826426,2016.760986328125,44.908363342285156,24.995704650878906,0.9982403238077537,22
42,1,1,9000,21,,0,40,0.013618243858218193,0.013618243858218193,8990.8173828125,94.8199234008789,50.47649383544922,0.9919039104107327,21
43,1,1,10000,23,,0,84,0.012459225952625275,0.012459225952625275,2150.01318359375,46.36823654174805,24.461145401000977,0.9981016097589057,23
44,1,2,0,18,,0,44,0.004616961814463139,0.004616528749465942,3270.38330078125,57.18726348876953,32.71432876586914,0.9975234677853152,18
45,1,2,1000,20,,0,100,0.0001232008944498375,0.00012272315507289022,452.07049560546875,21.26194953918457,12.519161224365234,0.9996388338058607,20
46,1,2,2000,20,,0,140,3.6011777410749346e-05,3.6011777410749346e-05,159.47332763671875,12.628274917602539,6.05966854095459,0.9998696438668434,20
47,1,2,3000,20,,0,140,0.000668982625938952,0.000668982625938952,2826.45263671875,53.16439437866211,29.935352325439453,0.9976853343799756,20
48,1,2,4000,20,,0,140,0.00040932086994871497,0.00040932086994871497,1783.215576171875,42.2281379699707,18.424949645996094,0.9985227497580603,20
49,1,2,5000,21,,0,100,0.0019356178818270564,0.0019350694492459297,370.6018371582031,19.251022338867188,13.705059051513672,0.9996848141807255,21
50,1,2,6000,20,,0,104,0.002467680023983121,0.002467092126607895,3399.917236328125,58.308807373046875,38.30815505981445,0.997045331945796,20
51,1,2,7000,21,,0,66,0.0022285599261522293,0.0022279229015111923,2953.530029296875,54.34638977050781,29.415355682373047,0.9974259593372005,21
52,1,2,8000,22,,0,42,0.0013095387257635593,0.0013089415151625872,372.1884460449219,19.292186737060547,12.637744903564453,0.9996677251680625,22
53,1,2,9000,22,,0,70,0.0012402302818372846,0.0012402302818372846,3355.7978515625,57.92924880981445,25.553863525390625,0.9968713744704176,22
54,1,2,10000,23,,0,46,0.014438142068684101,0.014438142068684101,4272.78125,65.36651611328125,37.88469314575195,0.9960753151962204,23
55,1,3,0,20,,0,62,0.0002524195588193834,0.0002514444349799305,542.9699096679688,23.301713943481445,12.809971809387207,0.999566999443288,20
56,1,3,1000,21,,0,70,0.0024747075513005257,0.002474171807989478,1957.89306640625,44.248085021972656,21.53377342224121,0.9983876811023789,21
57,1,3,2000,21,,0,105,0.0016084205126389861,0.0016081322683021426,898.7952880859375,29.979915618896484,16.985031127929688,0.9992476059544458,21
58,1,3,3000,20,,0,63,0.005147233605384827,0.005146392155438662,3135.45556640625,55.995140075683594,33.275936126708984,0.9973312112488714,20
59,1,3,4000,21,,0,140,0.0012508779764175415,0.0012508779764175415,2771.426513671875,52.64434051513672,23.381820678710938,0.9976067619415615,21
60,1,3,5000,21,,0,68,0.0025706656742841005,0.0025706656742841005,4534.32568359375,67.33740234375,38.671836853027344,0.9960416540883242,21
61,1,3,6000,21,,0,76,0.0006201415089890361,0.0006197659531608224,2548.9423828125,50.48705291748047,26.10256576538086,0.9977169485012609,21
62,1,3,7000,22,,0,80,0.014746411703526974,0.014746411703526974,8241.1787109375,90.78093719482422,48.3635368347168,0.9925626194334579,22
63,1,3,8000,22,,0,42,0.016838520765304565,0.016837583854794502,1726.1397705078125,41.546836853027344,26.086193084716797,0.9984245294153146,22
64,1,3,9000,22,,0,140,0.0004581386165227741,0.0004581386165227741,917.0479125976562,30.282798767089844,16.398151397705078,0.9991227759583399,22
65,1,3,10000,24,,0,137,0.0049134730361402035,0.004913192242383957,3763.069580078125,61.34386444091797,34.113643646240234,0.9963383525743587,24
66,2,1,0,19,,0,121,0.0011567907640710473,0.0011567727196961641,1556.1068115234375,39.4475212097168,24.586219787597656,0.9988258850379231,19
67,2,1,1000,19,,0,140,0.0015135534340515733,0.0015135534340515733,1445.8826904296875,38.02476501464844,25.044763565063477,0.9988999986173243,19
68,2,1,2000,20,,0,88,0.0033635124564170837,0.0033633820712566376,5564.92041015625,74.59839630126953,41.585960388183594,0.9957360141854278,20
69,2,1,3000,20,,0,140,0.0010188774904236197,0.0010188774904236197,4398.55517578125,66.32160186767578,35.5355224609375,0.9964830725833579,20
70,2,1,4000,21,,0,91,0.01298905536532402,0.012988193891942501,6561.94287109375,81.00582122802734,51.46289825439453,0.9946672887612199,21
71,2,1,5000,20,,0,100,0.0014957224484533072,0.0014957224484533072,2897.497314453125,53.828407287597656,30.850780487060547,0.9976076252994893,20
72,2,1,6000,21,,0,86,0.004215160850435495,0.004214862827211618,4084.31689453125,63.908660888671875,38.88739776611328,0.9965561163104866,21
73,2,1,7000,23,,0,61,0.023857492953538895,0.023857329040765762,2974.95947265625,54.543190002441406,35.626548767089844,0.9974031207388488,23
74,2,1,8000,20,,0,140,0.002007314469665289,0.002007314469665289,8429.9912109375,91.81498718261719,51.57100296020508,0.9931588111938499,20
75,2,1,9000,21,,0,78,0.001986989052966237,0.001986989052966237,1062.4647216796875,32.5954704284668,21.476947784423828,0.9990962510355363,21
