task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
61,1,3,6000,26,,0,139,4.9795253289630637e-05,4.945560795022175e-05,342.8038635253906,18.514963150024414,7.139188289642334,0.9996888532320064,26
259,7,3,6000,24,,0,138,8.305301889777184e-05,8.255674038082361e-05,248.8170166015625,15.773934364318848,8.346800804138184,0.9997922056612663,24
292,8,3,6000,24,,0,140,0.006152355577796698,0.006152355577796698,603.7787475585938,24.571908950805664,11.054730415344238,0.9995003684229358,24
313,9,2,5000,27,,0,116,0.003324362449347973,0.003324092598631978,3047.669921875,55.20570373535156,27.891340255737305,0.9973464190963198,27
365,11,1,2000,24,,0,140,0.0005221676547080278,0.0005221676547080278,709.8950805664062,26.643856048583984,13.723381042480469,0.9994484070206675,24
492,14,3,8000,26,,0,140,0.000554905564058572,0.000554905564058572,2525.673095703125,50.25607681274414,21.249662399291992,0.9978459537125294,26
531,16,1,3000,21,,0,95,0.003621093463152647,0.003620157716795802,10756.638671875,103.71421813964844,49.01449203491211,0.9924282466399851,21
566,17,1,5000,25,,0,140,0.00019348417117726058,0.00019348417117726058,1011.1334228515625,31.798324584960938,15.705016136169434,0.9991634164413751,25
638,19,2,0,20,,0,68,0.0007520815124735236,0.0007517434423789382,6313.10986328125,79.455078125,34.962947845458984,0.9955236421685258,20
667,20,1,7000,23,,0,108,0.00011582118895603344,0.00011526738671818748,472.0668029785156,21.72709846496582,9.945302963256836,0.9996226659302044,23
713,21,2,9000,25,,0,75,0.00026847326080314815,0.0002680729376152158,501.0186767578125,22.383445739746094,10.215317726135254,0.9995860625895636,25
740,22,2,3000,21,,0,130,5.114149098517373e-05,5.0246919272467494e-05,438.1400146484375,20.931795120239258,9.684868812561035,0.9996813229687356,21
763,23,1,4000,21,,0,94,0.00018499440921004862,0.00018492602976039052,914.0090942382812,30.23258399963379,13.581884384155273,0.9993210157446435,21
767,23,1,8000,21,,0,45,0.003222182858735323,0.0032219914719462395,1254.510009765625,35.419063568115234,18.44113540649414,0.9990454465905041,21
782,23,3,1000,22,,0,140,0.00030125619377940893,0.00030125619377940893,1404.1881103515625,37.47249984741211,18.91168212890625,0.9989466192765343,22
815,24,3,1000,22,,0,139,0.0007583242258988321,0.0007577771903015673,6364.69873046875,79.77906036376953,32.85187530517578,0.9953874625870913,22
964,29,1,7000,21,,0,69,0.0016141702653840184,0.0016132437158375978,69.11660766601562,8.313639640808105,4.556399822235107,0.9999488106102552,21
1065,32,1,9000,24,,0,105,0.0006627307739108801,0.000661872501950711,3293.514892578125,57.38915252685547,28.67142677307129,0.9973330506179948,24
1087,32,3,9000,24,,0,57,0.004046635236591101,0.004046513233333826,2286.1416015625,47.81361389160156,25.456396102905273,0.9981262447557557,24
1173,35,2,7000,23,,0,140,0.0009138629538938403,0.0009138629538938403,714.5536499023438,26.731136322021484,16.804912567138672,0.9994453394432139,23
1176,35,2,10000,22,,0,137,0.00010537682101130486,0.00010478051990503445,746.1156616210938,27.31511688232422,12.598657608032227,0.9994249050241086,22
1289,39,1,2000,25,,0,121,0.0012108419323340058,0.0012104297056794167,237.15557861328125,15.399856567382812,8.652186393737793,0.9998131231439928,25
1346,40,3,4000,24,,0,42,0.015823112800717354,0.01582290045917034,647.039306640625,25.436967849731445,13.02337646484375,0.9994779501208203,24
