task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points,val_mse,val_rmse,val_mae,val_r2,val_points,test_mse,test_rmse,test_mae,test_r2,test_points
0,0,4,0,30,generated,0,5,0.09241833537817001,0.026195131242275238,131082.359375,362.052978515625,193.91403198242188,0.8482781204806197,18,130984.0703125,361.9172058105469,151.1205596923828,0.9206068161035148,6,3341.085205078125,57.802120208740234,33.044090270996094,0.9968615779522558,6
1,0,4,1000,25,generated,0,42,0.033764854073524475,0.0002873482007998973,702.8403930664062,26.511137008666992,13.75382137298584,0.9995352102755893,15,2759.91845703125,52.53492736816406,27.873382568359375,0.9896901122897844,5,15404.955078125,124.11669921875,75.17991638183594,0.981088916824283,5
2,0,4,2000,21,generated,0,18,0.10887230932712555,0.008399013429880142,25194.701171875,158.7283935546875,87.29721069335938,0.9792026245584186,13,92651.515625,304.3871154785156,220.6885223388672,0.9380382201605656,4,33628.72265625,183.38136291503906,122.1905746459961,0.9671419746716112,4
3,0,4,3000,25,generated,0,6,0.030950278043746948,0.0057055712677538395,2831.9677734375,53.21623611450195,30.830299377441406,0.997013022174396,15,336.5269775390625,18.34467124938965,13.05468463897705,0.9996885152881527,5,22368.16015625,149.5598907470703,73.89190673828125,0.9867551784127129,5
4,0,4,4000,26,generated,0,4,0.0442483052611351,0.015904664993286133,36069.96875,189.92095947265625,118.79487609863281,0.9631484072954937,16,395.4940185546875,19.88703155517578,11.425432205200195,0.9996427465948993,5,14578.2919921875,120.7406005859375,72.04096221923828,0.9902846323704408,5
5,0,4,5000,24,generated,0,39,0.016617683693766594,0.00030327081913128495,2368.172119140625,48.66386795043945,29.720294952392578,0.997877922719781,14,2750.191162109375,52.442264556884766,39.30122756958008,0.9981289205057295,5,4347.0263671875,65.9319839477539,35.02737808227539,0.9950785901750872,5
6,0,4,6000,24,generated,0,85,0.04719919711351395,1.515576442123745e-09,409.0991516113281,20.226200103759766,9.83757209777832,0.9996279590542716,14,8682.083984375,93.17770385742188,60.279754638671875,0.9937179875322264,5,11588.1240234375,107.64814758300781,59.492637634277344,0.9875932661785815,5
7,0,4,7000,26,generated,0,24,0.147457093000412,0.01427544467151165,4639.20263671875,68.1116943359375,37.722381591796875,0.9942042198560979,16,23814.966796875,154.32098388671875,76.84492492675781,0.9853650539017867,5,11.371829986572266,3.3722143173217773,2.271305799484253,0.9999923249495002,5
8,0,4,8000,25,scratch,1,9,0.1950615793466568,0.02010265924036503,4901.953125,70.01394653320312,34.43520736694336,0.9946387062158314,15,7504.84130859375,86.63048553466797,46.28461456298828,0.9942770162288835,5,6917.48291015625,83.1714096069336,55.890220642089844,0.9949189928643107,5
9,0,4,9000,25,scratch,1,9,0.016273364424705505,0.001374898012727499,2862.84130859375,53.50552749633789,31.586181640625,0.9968136843553016,15,4143.03857421875,64.36643981933594,35.24839401245117,0.9970055303076257,5,6719.00537109375,81.96953582763672,47.09343719482422,0.994890873114331,5
10,0,4,10000,27,generated,0,17,0.012703326530754566,0.00904093123972416,2650.0810546875,51.478939056396484,24.576574325561523,0.997258346437828,17,13823.755859375,117.57447052001953,68.71959686279297,0.9908867100592577,5,1361.035400390625,36.8922119140625,22.335615158081055,0.9981639161458229,5
11,0,5,0,30,scratch,1,37,0.011386356316506863,0.00024133099941536784,628.468505859375,25.06927490234375,13.433823585510254,0.9992561066573081,18,16055.0419921875,126.70848846435547,58.624149322509766,0.9892680139405581,6,55.1060905456543,7.423347473144531,5.3838210105896,0.999950244274633,6
