task_id,WL,Retention,PEC,num_points
33,1,4,0,20
34,1,4,1000,20
107,3,4,8000,26
117,3,5,7000,26
166,5,4,1000,24
279,8,5,4000,25
281,8,5,6000,25
363,11,4,0,21
389,11,6,4000,20
423,12,6,5000,24
621,18,6,5000,25
642,19,5,4000,25
694,21,4,1000,21
695,21,4,2000,21
782,23,6,1000,20
881,26,6,1000,22
990,30,4,0,21
997,30,4,7000,22
1035,31,5,1000,21
1054,31,6,9000,26
1056,32,4,0,20
1070,32,5,3000,23
1107,33,5,7000,24
1168,35,5,2000,24
1224,37,4,3000,27
1273,38,5,8000,24
1296,39,4,9000,22
1389,42,4,3000,27
1442,43,6,1000,26
1467,44,5,4000,24
1576,47,6,3000,21
1632,49,5,4000,26
1736,52,5,9000,27
1867,56,5,8000,28
2061,62,5,4000,23
2192,66,5,3000,22
2237,67,6,4000,24
2276,68,6,10000,28
2296,69,5,8000,25
2319,70,4,9000,22
2345,71,4,2000,22
2388,72,5,1000,22
2424,73,5,4000,20
2508,76,4,0,21
2546,77,4,5000,22
2573,77,6,10000,26
2692,81,5,8000,24
2711,82,4,5000,24
2720,82,5,3000,25
2747,83,4,8000,24
2857,86,5,8000,25
2858,86,5,9000,27
3158,95,6,1000,21
3159,95,6,2000,20
3236,98,4,2000,22
3266,98,6,10000,25
3331,100,6,9000,22
3332,100,6,10000,22
3337,101,4,4000,25
3474,105,4,9000,22
3485,105,5,9000,25
3492,105,6,5000,22
3500,106,4,2000,22
3514,106,5,5000,23
3519,106,5,10000,26
3566,108,4,2000,23
3751,113,6,0,23
3772,114,4,10000,27
3805,115,4,10000,21
3828,116,4,0,20
3858,116,6,8000,24
3919,118,6,3000,21
4048,122,6,0,22
4188,126,6,8000,23
4189,126,6,9000,23
4193,127,4,2000,23
4225,128,4,1000,21
4448,134,6,4000,24
4461,135,4,6000,23
4524,137,4,3000,24
4565,138,5,0,22
4607,139,5,9000,24
4647,140,6,5000,24
4717,142,6,9000,24
4776,144,6,2000,25
4792,145,4,7000,24
4826,146,4,8000,25
4849,146,6,9000,25
4869,147,5,7000,26
4877,147,6,4000,20
4929,149,5,1000,23
4949,149,6,10000,23
5043,152,6,5000,26
5101,154,5,8000,30
5112,154,6,8000,28
5144,155,6,7000,23
5316,161,4,3000,26
5381,163,4,2000,20
5384,163,4,5000,25
5414,164,4,2000,21
5534,167,6,1000,19
5617,170,4,7000,26
5658,171,5,4000,23
5694,172,5,7000,25
5816,176,4,8000,26
5841,177,4,0,18
5843,177,4,2000,27
5858,177,5,6000,26
5887,178,5,2000,25
6248,189,5,0,25
6299,190,6,7000,22
6359,192,6,1000,21
6407,194,4,5000,23
6425,194,6,1000,19
6466,195,6,9000,26
6743,204,5,0,21
6752,204,5,9000,25
6762,204,6,8000,21
6839,207,4,8000,25
6878,208,5,3000,26
6970,211,4,7000,24
6983,211,5,9000,26
6987,211,6,2000,24
7035,213,4,6000,21
7063,214,4,1000,25
7090,214,6,6000,23
7141,216,5,2000,24
7214,218,5,9000,25
7257,219,6,8000,24
7309,221,5,5000,25
7333,222,4,7000,23
7411,224,5,8000,25
7422,224,6,8000,26
7439,225,5,3000,22
7451,225,6,4000,20
7578,229,5,10000,26
7764,235,4,9000,22
7785,235,6,8000,23
7869,238,5,4000,24
7884,238,6,8000,23
7923,240,4,3000,23
7931,240,5,0,22
7948,240,6,6000,22
7971,241,5,7000,25
8015,242,6,7000,21
8259,250,4,9000,26
8325,252,4,9000,26
8330,252,5,3000,25
8407,254,6,3000,25
8441,255,6,4000,23
