task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points,val_mse,val_rmse,val_mae,val_r2,val_points,test_mse,test_rmse,test_mae,test_r2,test_points
33,1,4,0,33,generated,0,38,0.010005710646510124,0.006795322988182306,1327.2850341796875,36.431922912597656,17.0830135345459,0.997845905482999,19,5421.3916015625,73.63009643554688,37.05548858642578,0.9919695799041601,7,5462.00634765625,73.90538787841797,35.56682586669922,0.9899749183610278,7
34,1,4,1000,35,scratch,1,39,0.08441097289323807,0.00030497086117975414,1177.2313232421875,34.31080627441406,15.706371307373047,0.9982126185354293,21,1446.0615234375,38.02711486816406,20.151077270507812,0.9964910640858881,7,8518.2587890625,92.2944107055664,46.37206268310547,0.9857879661150171,7
107,3,4,8000,36,generated,0,8,0.010505867190659046,0.007607588078826666,176.92172241210938,13.301192283630371,7.509921073913574,0.9996467697119691,22,1360.7430419921875,36.88825225830078,22.999202728271484,0.9977901186565945,7,1457.1990966796875,38.17327880859375,23.14255714416504,0.9970237150628366,7
117,3,5,7000,38,generated,0,4,0.02462184801697731,0.017897633835673332,12338.3525390625,111.07814025878906,61.18600845336914,0.9739326894668233,22,5546.7646484375,74.47660827636719,44.16790008544922,0.9870274366441443,8,5681.71728515625,75.37716674804688,45.79453659057617,0.9847070868713108,8
166,5,4,1000,36,scratch,1,12,0.14851494133472443,0.011365794576704502,1815.1207275390625,42.60423278808594,19.533554077148438,0.9969657459364497,22,1214.0164794921875,34.84273910522461,17.32505226135254,0.9981386843914846,7,4943.6357421875,70.31098937988281,37.68167495727539,0.9902827013304558,7
279,8,5,4000,36,scratch,1,19,0.01907476596534252,0.001017276314087212,1996.61669921875,44.68351745605469,23.295459747314453,0.9960664344957246,22,2464.846435546875,49.647220611572266,36.786563873291016,0.9955170258717063,7,10090.1103515625,100.44953918457031,58.93876266479492,0.9789007768142809,7
281,8,5,6000,35,generated,0,33,0.03944309428334236,0.0007464636582881212,1731.944580078125,41.61663818359375,22.373634338378906,0.9966742220937198,21,1209.23046875,34.773990631103516,20.587051391601562,0.9964452881839627,7,1094.219970703125,33.07899475097656,22.921030044555664,0.9977284210059082,7
363,11,4,0,31,scratch,1,17,0.02228628098964691,0.005398191977292299,3159.514404296875,56.209556579589844,30.65241050720215,0.9949991472016166,19,1664.0308837890625,40.79253387451172,25.7956600189209,0.9981342233884594,6,7878.57080078125,88.76131439208984,51.681636810302734,0.9840472907455043,6
389,11,6,4000,32,generated,0,5,0.04022346809506416,0.014161390252411366,2985.08984375,54.6359748840332,30.055673599243164,0.9954053598588144,20,12378.9970703125,111.26094055175781,70.82911682128906,0.9758223201340531,6,3608.318603515625,60.06928253173828,39.37577819824219,0.9944378933135232,6
423,12,6,5000,32,generated,0,6,0.0108909597620368,0.002005288377404213,6219.5615234375,78.86419677734375,43.034202575683594,0.9893235175702392,20,5315.31103515625,72.90618133544922,42.5794792175293,0.9917501415873691,6,4514.53515625,67.19029235839844,45.9128532409668,0.9938850037749986,6
621,18,6,5000,29,scratch,1,8,0.05110642686486244,0.0018084984039887786,2219.503173828125,47.111602783203125,30.750993728637695,0.9966769407489938,17,498.8733215332031,22.335472106933594,14.776156425476074,0.999309674178774,6,2457.484619140625,49.57302474975586,32.60383987426758,0.9955208419495499,6
642,19,5,4000,35,generated,0,4,0.00614413945004344,0.0024343039840459824,9153.4638671875,95.67373657226562,55.14849090576172,0.9841366293799778,21,385.84466552734375,19.642929077148438,14.669454574584961,0.9989369294285043,7,3009.826416015625,54.86188507080078,30.818756103515625,0.9941424238866443,7
694,21,4,1000,28,scratch,1,33,0.0033353231847286224,0.00014811720757279545,331.98095703125,18.22034454345703,10.554779052734375,0.9994806201357819,16,4583.1630859375,67.69906616210938,40.737728118896484,0.9936131497593536,6,3513.054443359375,59.271026611328125,38.949642181396484,0.9947105063246413,6
695,21,4,2000,33,scratch,1,9,0.04868551343679428,0.0017910640453919768,1013.5986938476562,31.837064743041992,15.936139106750488,0.9981366981290593,19,176.7410888671875,13.294400215148926,8.877927780151367,0.9997819419558548,7,2669.92041015625,51.67127227783203,29.117237091064453,0.9957851184424932,7
782,23,6,1000,26,scratch,1,20,0.023806195706129074,0.0001854239235399291,5517.46044921875,74.27960968017578,43.22113037109375,0.9919320436592513,16,1127.39453125,33.57669448852539,24.322032928466797,0.998308558206457,5,3452.33154296875,58.75654602050781,39.359039306640625,0.9950546578092023,5
881,26,6,1000,30,scratch,1,29,0.0028059568721801043,0.000951902533415705,3175.1396484375,56.3483772277832,29.529836654663086,0.9952344624223208,18,4619.67333984375,67.96817779541016,31.74725914001465,0.993600321038364,6,6065.46630859375,77.881103515625,50.95684814453125,0.9903039111032692,6
990,30,4,0,33,scratch,1,27,0.04627392441034317,9.972992120310664e-05,77.64331817626953,8.811544418334961,4.286403656005859,0.9998616341206108,19,612.9630126953125,24.758089065551758,15.760416984558105,0.9992730672431226,7,3060.75927734375,55.32413101196289,34.96384811401367,0.9950480340650218,7
997,30,4,7000,31,scratch,1,24,0.16578616201877594,0.003137073013931513,1398.423583984375,37.395503997802734,21.170923233032227,0.9973257919433596,19,6350.353515625,79.68910217285156,47.6312370300293,0.9921362416084653,6,2711.97021484375,52.07658004760742,25.638620376586914,0.9949263890897433,6
1035,31,5,1000,33,scratch,1,22,0.004155988339334726,0.005240099038928747,339.49169921875,18.42530059814453,12.167284965515137,0.9993788710784945,19,1612.748291015625,40.15903854370117,20.246732711791992,0.9977912377959223,7,862.9688720703125,29.376331329345703,14.822259902954102,0.9984932071147066,7
1054,31,6,9000,34,generated,0,7,0.020020421594381332,0.014204459264874458,1884.6634521484375,43.41271209716797,23.531108856201172,0.996675815108086,20,4386.494140625,66.2306137084961,34.37642288208008,0.9926318059200738,7,671.6644897460938,25.91649055480957,17.071205139160156,0.9988373719693664,7
