model_index,curve_family,WL,Retention,PEC,task_id,test_r2,true_peak_step,pred_peak_step,peak_step_error,true_asymmetry,pred_asymmetry,parameter_refinement_norm
3,P2,71,6,0,2365,0.9727667583964742,27,27,0,-0.09496652615329987,-0.05739045835372514,2.3952796459198
3,P2,71,6,1000,2366,0.9827678724835848,27,27,0,0.06547729665703542,0.11111067160511869,1.326244592666626
3,P2,71,6,2000,2367,0.9546178865909244,27,27,0,0.06970833837167444,0.12750643940834444,0.5450486540794373
3,P2,71,6,3000,2368,0.990418163754034,27,27,0,0.12527392256359424,0.12840362786638893,1.3889153003692627
3,P2,71,6,4000,2369,0.9981676741307648,27,27,0,0.2193524918019066,0.2107510016235067,1.8448784351348877
3,P2,71,6,5000,2370,0.9759360570946012,27,27,0,0.24351645705255934,0.17648528577708084,1.2542811632156372
3,P2,71,6,6000,2371,0.9981755477561216,27,27,0,0.29604987110855063,0.25077206873006436,2.438162326812744
3,P2,71,6,7000,2372,0.9749466761888328,28,28,0,-0.03440769184045427,-0.00021478367946348693,3.6168394088745117
3,P2,71,6,8000,2373,0.994370175606394,28,28,0,0.028870443881338238,0.038287356845373675,2.008307695388794
3,P2,71,6,9000,2374,0.9919761073225958,28,28,0,0.09929969473278867,0.12417140320071751,1.5685557126998901
3,P2,71,6,10000,2375,0.9988884219043344,28,28,0,0.023656944359845663,0.050947378394915976,0.7107213139533997
