步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
19,255,2,6,10000,0,42,195.65527311382334,1678.496268562245,-1501.7982005112565,-80.03836855515564,30.10921602742261,68.88635759056768
20,255,2,6,10000,0,19,185.2535831001237,1678.496268562245,-1508.5480368624665,-81.83574569131116,28.448206682456963,68.69289040919935
21,255,2,6,10000,0,2,185.2535831001237,1678.496268562245,-1508.5480368624665,-81.83574569131116,28.448206682456963,68.69289040919935
1,115,2,5,8000,0,1,41.585695485340466,1678.496268562245,-1547.2537336580954,-104.814948988087,10.730129391245365,4.427980178032508
2,115,2,5,8000,0,3,41.585695485340466,1678.496268562245,-1547.2537336580954,-104.814948988087,10.730129391245365,4.427980178032508
3,115,2,5,8000,0,14,46.94719805568616,1678.496268562245,-1544.1420170778274,-103.85879006361428,10.730129391245365,5.721607243637678
4,115,2,5,8000,0,51,95.93426064741107,1678.496268562245,-1501.1057919573568,-94.7015133333353,10.93922509097197,2.306072284886218
5,115,2,5,8000,0,178,184.5770466727315,1678.496268562245,-1356.1220779032287,-138.99961417061192,12.523587110691457,-11.32111692636441
6,115,2,5,8000,0,456,364.32388917502,1678.496268562245,-1025.8484502021151,-245.09109851329825,11.299127614499263,-54.53195828631068
7,115,2,5,8000,0,952,1006.6352636379515,1678.496268562245,-414.7927856026706,-236.82416771462044,32.305286311383576,-52.54933791838597
8,115,2,5,8000,0,1655,1899.4059970918363,1678.496268562245,422.5223858043631,-198.32632670993505,18.50922917177613,-21.795559736612827
9,115,2,5,8000,0,2556,2290.254634848994,1678.496268562245,836.2510127987009,-296.1123669573886,57.356427699475084,14.263292745961731
10,115,2,5,8000,0,2955,2678.4286856932968,1678.496268562245,1163.9588398966932,-180.22872338925418,17.65324889740532,-1.4509482737926271
11,115,2,5,8000,0,2751,2678.4286856932968,1678.496268562245,1087.4980236588087,-118.72787528126582,14.146659139389573,17.01560961411911
12,115,2,5,8000,0,2651,2622.3131576410306,1678.496268562245,889.0384127769755,-0.22080596877940017,3.3183261530341435,51.68095611755516
13,115,2,5,8000,0,1890,2150.380521781748,1678.496268562245,293.4519010984949,124.402376693849,-8.309912799554034,62.33988822671315
14,115,2,5,8000,0,1645,1656.3817101436086,1678.496268562245,-185.96659721515437,94.26767935216421,13.15011442765306,56.43424501670074
15,115,2,5,8000,0,844,1043.897741510973,1678.496268562245,-733.2358211098623,49.419988391664,23.75606934139567,25.461236325530656
16,115,2,5,8000,0,526,576.048376930227,1678.496268562245,-1133.0675717751642,-0.6395801741686178,27.985361179466548,3.2738991378485434
17,115,2,5,8000,0,253,271.1570443598016,1678.496268562245,-1355.5935868491174,-67.67494585891713,6.1093909237331605,9.819917581858238
19,115,2,5,8000,0,36,36.11110248698128,1678.496268562245,-1522.250828790794,-121.14341125065056,-9.926756528217375,10.93583049439828
