PEC,step,true_freq,pred_freq,observed_sparse_point
0,15,1.0,0.9967958927154541,1
0,16,2.0,1.1469552516937256,0
0,19,8.0,6.185089588165283,0
0,20,22.0,22.174440383911133,1
0,21,98.0,96.36366271972656,1
0,22,333.0,338.96710205078125,1
0,23,823.0,816.484619140625,1
0,24,1587.0,1518.079833984375,0
0,25,2624.0,2442.362060546875,0
0,26,3334.0,3303.3212890625,1
0,27,3356.0,3447.37548828125,1
0,28,2913.0,2839.6357421875,1
0,29,2080.0,2095.767822265625,1
0,30,1284.0,1457.1788330078125,0
0,31,592.0,794.3304443359375,0
0,32,271.0,270.185546875,1
0,33,90.0,90.57563018798828,1
0,34,49.0,48.82185363769531,1
0,36,14.0,14.002021789550781,1
0,37,4.0,4.979243755340576,0
0,38,2.0,1.9176037311553955,0
0,39,1.0,1.0003652572631836,1
6000,13,1.0,0.9686868190765381,1
6000,15,1.0,1.8946475982666016,0
6000,16,3.0,2.3589277267456055,0
6000,17,3.0,3.177184581756592,1
6000,19,9.0,9.566861152648926,1
6000,20,23.0,21.890796661376953,1
6000,21,54.0,55.48508071899414,0
6000,22,157.0,144.4146728515625,0
6000,23,418.0,376.3269958496094,1
6000,24,893.0,929.5087890625,1
6000,25,1688.0,1879.7659912109375,1
6000,26,2622.0,2808.070556640625,0
6000,27,3088.0,3189.39404296875,0
6000,28,2997.0,2992.846923828125,1
6000,29,2821.0,2476.611083984375,1
6000,30,2228.0,1871.23876953125,1
6000,31,1294.0,1308.882080078125,1
6000,32,803.0,849.7335815429688,0
6000,33,361.0,510.7017517089844,0
6000,34,173.0,283.03729248046875,1
6000,36,92.0,67.54176330566406,1
6000,37,33.0,29.098913192749023,1
6000,38,7.0,11.486639022827148,0
6000,39,1.0,4.0050787925720215,0
6000,40,1.0,0.9940013885498047,1
10000,12,2.0,1.951505422592163,1
10000,14,1.0,0.1600981503725052,0
10000,16,1.0,0.5371749401092529,0
10000,17,2.0,2.1429355144500732,1
10000,19,15.0,13.421274185180664,1
10000,20,25.0,28.253618240356445,1
10000,21,58.0,63.02246856689453,0
10000,22,150.0,153.63575744628906,0
10000,23,376.0,377.8065185546875,1
10000,24,828.0,825.8377075195312,1
10000,25,1528.0,1490.6279296875,1
10000,26,2191.0,2227.71484375,1
10000,27,2974.0,2840.982421875,0
10000,28,3094.0,3129.37548828125,0
10000,29,2952.0,2931.209228515625,1
10000,30,1920.0,2290.319580078125,1
10000,31,1759.0,1523.263427734375,1
10000,32,923.0,935.02294921875,1
10000,33,505.0,585.9395141601562,0
10000,34,264.0,392.82940673828125,0
10000,36,145.0,152.25205993652344,1
10000,37,60.0,56.36460876464844,1
10000,38,13.0,13.999156951904297,1
10000,39,1.0,3.931013584136963,0
10000,40,3.0,1.731987476348877,0
10000,42,1.0,0.9505798816680908,1
