Retention,PEC,task_count,mean_signed_pct_of_peak,mean_abs_pct_of_peak,mean_peak_step_error,mean_abs_asymmetry_error
4,0,1792,0.002488814738960134,0.020162938773846784,-0.030133928571428572,0.12684303550881842
4,1000,1792,0.0016523704428130816,0.019895213327414212,0.0,0.12029466571522071
4,2000,1792,0.001121949139647905,0.0211377015799329,-0.008928571428571428,0.12168007593991795
4,3000,1792,-0.0007535898834119226,0.02485143526903102,-0.0005580357142857143,0.12808814014567718
4,4000,1792,0.0006363910446404963,0.019907704755580662,-0.027901785714285716,0.12706317665789915
4,5000,1792,0.00033500090012063055,0.020216873064947353,0.024553571428571428,0.12525062067229684
4,6000,1792,0.00025197467152701674,0.02005907427478924,-0.009486607142857142,0.13126504293305677
4,7000,1792,-0.00014375448059738747,0.021072065694491108,-0.03404017857142857,0.14008389217670017
4,8000,1792,-0.0002391320018944732,0.01969748592170545,0.014508928571428572,0.14108930916765
4,9000,1792,-0.0002498792153313218,0.020157160769638534,0.02734375,0.1370374509065009
4,10000,1792,0.0004510608330316386,0.01889194036797026,-0.01171875,0.13973279797490343
5,0,1792,0.0011078823040068827,0.021070662761660086,-0.024553571428571428,0.12797420754425365
5,1000,1792,8.591676087510696e-05,0.021501158114459146,0.0033482142857142855,0.12692329699744007
5,2000,1792,0.0008173013383520975,0.021793941231173865,-0.005022321428571429,0.12648994133398134
5,3000,1792,0.00017436889421375146,0.023659797349382197,-0.011160714285714286,0.13018290098320506
5,4000,1792,0.0008987133397973231,0.022862118331878227,0.0,0.1291203813755748
5,5000,1792,0.0005972051082400743,0.02152218711456415,-0.03125,0.1279067923201301
5,6000,1792,-0.0005655937353261978,0.022628973811640706,-0.01953125,0.14090524358332837
5,7000,1792,-0.0006935870442274499,0.022253824028117115,-0.021205357142857144,0.1311964140399743
5,8000,1792,-0.0017219723418342124,0.023132150177008266,-0.024553571428571428,0.14031764564130492
5,9000,1792,-0.001757045125821196,0.021239140216372694,-0.021205357142857144,0.1340105743256923
5,10000,1792,-0.0014462334554193911,0.02213220981281866,-0.020089285714285716,0.13692120575089164
6,0,1792,0.002701233412532609,0.022949447311137305,-0.04743303571428571,0.13912749351855683
6,1000,1792,0.0018859128239868998,0.02424152096757671,-0.0005580357142857143,0.14761542639719474
6,2000,1792,0.0009426902754329952,0.025827400783539952,-0.05357142857142857,0.15837485804067045
6,3000,1792,0.000576365954078805,0.025324403253696375,-0.021205357142857144,0.15047877834334014
6,4000,1792,0.0009838494638598877,0.02545974156567443,-0.013392857142857142,0.1594013111762047
6,5000,1792,0.00027629013259081956,0.024646677402380964,-0.041294642857142856,0.15646815145858448
6,6000,1792,5.4029981046024895e-05,0.02504345091476764,-0.030691964285714284,0.15512232917913105
6,7000,1792,-0.0002111677204398758,0.025302443031390814,-0.03794642857142857,0.1620356519624691
6,8000,1792,-0.00023060366376790508,0.02591667336185447,-0.03404017857142857,0.15667298024916368
6,9000,1792,-0.0007922133732194238,0.02618639423477669,-0.06640625,0.16084613554889668
6,10000,1792,5.866864189713079e-05,0.026395255686430943,-0.07868303571428571,0.16690744890824052
