order,method,method_label,P2 / M3,P4 / M5,P7 / M8,point_r2,task_mean_r2,task_median_r2,p05_test_r2,frac_test_r2_gt_0_9,frac_test_r2_lt_0,tail_rmse_pct_peak,peak_step_error
0,scratch_only,Scratch-only,0.9782706732059434,0.9635379716393624,0.9868237300044782,0.9766552847881633,0.9762107916165946,0.9905714049158472,0.9023063324766772,0.96,0.0,0.2107028002803716,0.4022222222222222
1,source_pooled_mlp,Source-pretrained pooled MLP,0.9855940648148476,0.9790302645848172,0.9906955582835636,0.9854693555334014,0.9851066292277428,0.9927262276481793,0.9507750266261374,0.98,0.0,0.23055328097847283,0.3977777777777778
2,nearest_parameter_transfer,Nearest parameter transfer,0.9529164383303288,-52.08682891029494,0.956136635415348,-10.680368989200872,-16.725925278849754,0.9912342757156459,0.9122655578159952,0.9533333333333333,0.015555555555555498,3.7462745067796486,0.5511111111111111
3,hypernetwork_parameter,Direct hypernetwork parameter,-106.0952926163802,-128.41145744608392,-642.6664175653041,-267.4573538594755,-292.39105587592275,0.92062464886556,-2339.2256850996714,0.5244444444444444,0.30666666666666664,30.331381759684216,3.297777777777778
4,diffusion_transfer,Diffusion transfer,0.9805599278609274,0.9639117012035724,0.9890884296798468,0.9804771835842132,0.9778533529147823,0.9917993575398918,0.9384675992097709,0.9733333333333333,0.0,0.22357269247386913,0.4466666666666667
