model_index,curve_family,label,budget,method,run_kind,task_id,WL,Retention,PEC,test_r2,test_rmse,test_mae,abs_peak_step_error,tail_rmse_pct_peak
3,P2,P2 / M3,5,gaussian,sample,33,1,4,0,0.9991294331692563,31.958342164794157,21.706938614970202,0.0,0.6869977970060905
3,P2,P2 / M3,5,gaussian,sample,34,1,4,1000,0.9961335756473001,68.8241684753963,42.18390200106536,1.0,0.2910247338945706
3,P2,P2 / M3,5,gaussian,sample,107,3,4,8000,0.9957071089768486,64.33084158623456,33.01637665586799,0.0,0.27128523313516667
3,P2,P2 / M3,5,gaussian,sample,117,3,5,7000,0.9964764418668035,56.47816923333339,30.94313702977823,0.0,0.3699687400579711
3,P2,P2 / M3,5,gaussian,sample,166,5,4,1000,0.989061177350356,108.58003675829562,74.00306579019527,0.0,0.10255623935983983
3,P2,P2 / M3,5,gaussian,sample,279,8,5,4000,0.9943470256803548,73.93038163432698,40.7439961975098,0.0,0.19791525218791856
3,P2,P2 / M3,5,gaussian,sample,281,8,5,6000,0.9959857624162299,61.87113149540259,41.5746977220471,0.0,0.19443862819349905
3,P2,P2 / M3,5,gaussian,sample,363,11,4,0,0.9948492964107809,78.80909942001671,51.80535431537868,0.0,0.2595890985232843
3,P2,P2 / M3,5,gaussian,sample,389,11,6,4000,0.9921054048917389,98.43739090879424,52.81273785771967,0.0,0.44568560260278367
3,P2,P2 / M3,5,gaussian,sample,423,12,6,5000,0.9816114459526843,140.30808638172184,73.06113629387794,1.0,0.2385315148572501
3,P2,P2 / M3,5,gaussian,sample,621,18,6,5000,0.9879523373800901,111.98408921300418,59.052062212275175,0.0,0.3827655583130064
3,P2,P2 / M3,5,gaussian,sample,642,19,5,4000,0.9944577469959502,73.71506596433397,40.98266035187313,0.0,0.2511047007680769
3,P2,P2 / M3,5,gaussian,sample,694,21,4,1000,0.9932127173926885,88.27836639400975,57.10289123525936,0.0,0.25304448724395384
3,P2,P2 / M3,5,gaussian,sample,695,21,4,2000,0.9937029023921646,85.34282819014295,59.91821002107483,0.0,0.3297348213945479
3,P2,P2 / M3,5,gaussian,sample,782,23,6,1000,0.9712299054354792,186.00897411652554,124.65032039095611,0.0,0.4419852754147396
3,P2,P2 / M3,5,gaussian,sample,881,26,6,1000,0.9762607989825731,161.15543516465073,94.51399253782851,1.0,0.24488653761400406
3,P2,P2 / M3,5,gaussian,sample,990,30,4,0,0.9930648286512763,90.88172544278682,55.34906484372788,0.0,0.15954723829271017
3,P2,P2 / M3,5,gaussian,sample,997,30,4,7000,0.9877369360016236,114.63436704484806,79.32383104103565,0.0,0.851278531240663
3,P2,P2 / M3,5,gaussian,sample,1035,31,5,1000,0.9966905402471677,61.748658992109334,39.149131604698084,0.0,0.2678696599217284
3,P2,P2 / M3,5,gaussian,sample,1054,31,6,9000,0.991073825236737,92.2416737339726,59.83044613679696,0.0,0.6631153793274883
3,P2,P2 / M3,5,gaussian,sample,1056,32,4,0,0.9959820827829722,70.77945324427297,46.13891535282143,0.0,0.28053292305101074
3,P2,P2 / M3,5,gaussian,sample,1070,32,5,3000,0.9962422793074223,63.021004281445215,37.46659056507669,0.0,0.3190187508968436
3,P2,P2 / M3,5,gaussian,sample,1107,33,5,7000,0.9970498528044567,53.094828993190305,37.52490216258389,0.0,0.5004759102808839
3,P2,P2 / M3,5,gaussian,sample,1168,35,5,2000,0.9944135875357535,77.77835530093847,51.2205707886598,0.0,0.238082567716419
3,P2,P2 / M3,5,gaussian,sample,1224,37,4,3000,0.995946022277368,64.03669887174782,34.23252815200727,0.0,0.19597588809183303
3,P2,P2 / M3,5,gaussian,sample,1273,38,5,8000,0.9946885828675294,71.64255633932844,51.255769066275,0.0,0.3325765068882132
3,P2,P2 / M3,5,gaussian,sample,1296,39,4,9000,0.9903589349610753,101.31797301730334,68.89589849733368,0.0,0.4851619017351778
3,P2,P2 / M3,5,gaussian,sample,1389,42,4,3000,0.9946643200336294,72.2951622875015,45.177497048291244,0.0,0.3469648657807407
3,P2,P2 / M3,5,gaussian,sample,1442,43,6,1000,0.9753661359973379,164.68379534673514,94.2209898701469,0.0,0.3503719778913457
3,P2,P2 / M3,5,gaussian,sample,1467,44,5,4000,0.9916892292427608,93.82650950890806,63.373348089759155,1.0,0.2726954221185085
3,P2,P2 / M3,5,gaussian,sample,1576,47,6,3000,0.9984731865217434,42.438397457343015,33.032519746331715,0.0,0.8107090971975346
3,P2,P2 / M3,5,gaussian,sample,1632,49,5,4000,0.9828384599211559,131.37152989513027,70.60005995133476,1.0,0.353142514985137
3,P2,P2 / M3,5,gaussian,sample,1736,52,5,9000,0.9558092506959504,197.82262687580584,128.63444624486286,0.0,0.2907216432118798
3,P2,P2 / M3,5,gaussian,sample,1867,56,5,8000,0.9882583473434728,99.99870286290998,62.79058161283357,0.0,0.25301109625563695
3,P2,P2 / M3,5,gaussian,sample,2061,62,5,4000,0.9938224225935909,80.26065071246872,46.64363835551215,0.0,0.17253734324623443
3,P2,P2 / M3,5,gaussian,sample,2192,66,5,3000,0.9921481402176032,91.3740610690258,61.039341754307756,0.0,0.23634338260508023
3,P2,P2 / M3,5,gaussian,sample,2237,67,6,4000,0.9865300888130998,122.08820945703526,76.58695616132304,0.0,0.5082928322177822
3,P2,P2 / M3,5,gaussian,sample,2276,68,6,10000,0.9913712025327232,91.11193113251208,48.48599934601058,0.0,1.0087812353533103
3,P2,P2 / M3,5,gaussian,sample,2296,69,5,8000,0.9952744220139469,66.41649892431188,42.55863467945632,0.0,0.5790316709353013
3,P2,P2 / M3,5,gaussian,sample,2319,70,4,9000,0.9908153771712176,98.94259651213218,67.39735606102614,0.0,0.5583743577653891
3,P2,P2 / M3,5,gaussian,sample,2345,71,4,2000,0.9869500717500456,124.60094977374612,77.31858082453797,1.0,0.30898004988644584
3,P2,P2 / M3,5,gaussian,sample,2388,72,5,1000,0.9882311885762682,112.54421738393945,65.76830403274937,0.0,0.1798745230993703
3,P2,P2 / M3,5,gaussian,sample,2424,73,5,4000,0.9916850467407878,96.20880867189732,62.64197515085479,0.0,0.2289237168568468
3,P2,P2 / M3,5,gaussian,sample,2508,76,4,0,0.9936452955848907,90.1350401254227,58.659132369797646,1.0,0.37252310723180876
3,P2,P2 / M3,5,gaussian,sample,2546,77,4,5000,0.9860334338234521,125.04425556716136,82.19065104386407,1.0,0.18855426504187298
3,P2,P2 / M3,5,gaussian,sample,2573,77,6,10000,0.9823750806236609,132.83664834071735,81.71137517982599,0.0,1.0155754663297092
3,P2,P2 / M3,5,gaussian,sample,2692,81,5,8000,0.9969304734887852,53.878546516439776,34.324155870070875,0.0,0.5203593453319532
3,P2,P2 / M3,5,gaussian,sample,2711,82,4,5000,0.9929657333938008,86.8291592362314,51.72152375513417,1.0,0.31400711189920144
3,P2,P2 / M3,5,gaussian,sample,2720,82,5,3000,0.9937343938412215,78.6876150068642,43.51878755054908,0.0,0.19846137809660983
3,P2,P2 / M3,5,gaussian,sample,2747,83,4,8000,0.9918056422049915,93.80987160719799,57.144004400437915,1.0,0.27094593470966144
3,P2,P2 / M3,5,gaussian,sample,2857,86,5,8000,0.974859813418035,148.96946370779182,89.4977730308724,1.0,0.34874406896874915
3,P2,P2 / M3,5,gaussian,sample,2858,86,5,9000,0.9963967522650278,55.3661184376417,36.453109054098896,0.0,0.5952115242374163
3,P2,P2 / M3,5,gaussian,sample,3158,95,6,1000,0.9958299683684736,70.76764384799802,45.82565130496347,0.0,0.46602242181542625
3,P2,P2 / M3,5,gaussian,sample,3159,95,6,2000,0.9823899540208255,144.7621749605094,90.99187883105854,0.0,0.40239117041277295
3,P2,P2 / M3,5,gaussian,sample,3236,98,4,2000,0.9960232259919474,69.00966106551992,45.811834732248904,0.0,0.15519584970781572
3,P2,P2 / M3,5,gaussian,sample,3266,98,6,10000,0.8024467921418823,441.7366665509308,272.67145410448666,1.0,0.21797742209405574
3,P2,P2 / M3,5,gaussian,sample,3331,100,6,9000,0.9848514474929393,124.76874081547095,88.11769265895383,0.0,0.7659697177816588
3,P2,P2 / M3,5,gaussian,sample,3332,100,6,10000,0.9588573653732008,200.8001384808996,125.03051004494979,0.0,0.6081768474004643
3,P2,P2 / M3,5,gaussian,sample,3337,101,4,4000,0.9856989402739625,120.17447713701051,62.48972287575519,0.0,0.291876153498542
3,P2,P2 / M3,5,gaussian,sample,3474,105,4,9000,0.9845464892017597,127.60033073284386,90.0871410628915,1.0,0.41879663618527596
3,P2,P2 / M3,5,gaussian,sample,3485,105,5,9000,0.993768909581451,74.09468523343133,48.15292342648386,0.0,0.5217327049769356
3,P2,P2 / M3,5,gaussian,sample,3492,105,6,5000,0.9823943718647548,141.72422989139383,95.20104251497344,0.0,0.6521483961508648
3,P2,P2 / M3,5,gaussian,sample,3500,106,4,2000,0.9878044245255853,119.8899882939015,78.58678253924394,1.0,0.08763656442943091
3,P2,P2 / M3,5,gaussian,sample,3514,106,5,5000,0.9968713549206684,56.61098011549731,42.10345857190116,0.0,0.5508302827161018
3,P2,P2 / M3,5,gaussian,sample,3519,106,5,10000,0.9973706863099072,48.227877783572914,32.65304400863124,0.0,0.5202361630279794
3,P2,P2 / M3,5,gaussian,sample,3566,108,4,2000,0.9832821190391694,137.1853808256168,88.23385868136745,1.0,0.17979644705412523
3,P2,P2 / M3,5,gaussian,sample,3751,113,6,0,0.9845721424339741,134.92120179942935,76.26013341726487,0.0,0.15118177746018863
3,P2,P2 / M3,5,gaussian,sample,3772,114,4,10000,0.9566245301488709,201.57244617418434,120.49595656784113,1.0,0.23240453887047507
3,P2,P2 / M3,5,gaussian,sample,3805,115,4,10000,0.9876223774701716,114.99491569870335,77.09300133581638,0.0,0.6796123878254391
3,P2,P2 / M3,5,gaussian,sample,3828,116,4,0,0.9818277914857432,150.4544279173848,100.20213331744232,1.0,0.5814683681476337
3,P2,P2 / M3,5,gaussian,sample,3858,116,6,8000,0.9810565966976741,139.4083612231772,99.23002045216525,0.0,1.2290672847566513
3,P2,P2 / M3,5,gaussian,sample,3919,118,6,3000,0.9907951080466627,104.55755462422033,69.63922539907796,0.0,0.581157307792739
3,P2,P2 / M3,5,gaussian,sample,4048,122,6,0,0.9797262280674474,154.97635952442187,89.86730661788279,0.0,0.3156576590555307
3,P2,P2 / M3,5,gaussian,sample,4188,126,6,8000,0.9839302584490807,131.2497578382648,87.42775119184981,0.0,0.49327340310820744
3,P2,P2 / M3,5,gaussian,sample,4189,126,6,9000,0.8279070551538803,419.31010105625194,283.3537694420526,1.0,0.37377783119699265
3,P2,P2 / M3,5,gaussian,sample,4193,127,4,2000,0.9890650188079272,112.71608595415239,70.53486210488805,1.0,0.34458888256669507
3,P2,P2 / M3,5,gaussian,sample,4225,128,4,1000,0.9899444769763869,108.3769157532856,72.47841467794971,0.0,0.2675696956593596
3,P2,P2 / M3,5,gaussian,sample,4448,134,6,4000,0.986303916592479,121.29555400961368,71.48952610465483,0.0,0.28062770634809314
3,P2,P2 / M3,5,gaussian,sample,4461,135,4,6000,0.98259387843939,134.22352913705373,90.33344453673857,0.0,0.4437450999901186
3,P2,P2 / M3,5,gaussian,sample,4524,137,4,3000,0.9856648573658668,125.06533269470961,80.34377259586175,0.0,0.17080817104374718
3,P2,P2 / M3,5,gaussian,sample,4565,138,5,0,0.9840216112893415,134.68736916192404,90.31407048795282,1.0,0.6047582355537326
3,P2,P2 / M3,5,gaussian,sample,4607,139,5,9000,0.9727958386253392,158.5369769919586,79.73598673560379,1.0,0.43252878450282195
3,P2,P2 / M3,5,gaussian,sample,4647,140,6,5000,0.9673414229540471,186.88974928993363,119.34615432759881,0.0,0.682280899032228
3,P2,P2 / M3,5,gaussian,sample,4717,142,6,9000,0.9683725113634215,174.97382574191602,116.16820475392717,0.0,1.103890657726623
3,P2,P2 / M3,5,gaussian,sample,4776,144,6,2000,0.964243791819394,191.3402713200051,114.84082822569587,0.0,0.2090795136186377
