model_index,curve_family,method,observed_points,task_count,point_r2,task_mean_r2,task_median_r2,point_rmse,point_mae,frac_test_r2_gt_0_9,frac_test_r2_lt_0,mean_test_rmse,mean_test_mae
3,P2,gaussian,3,150,0.1122219676985859,0.10493837336378,0.1294307798711255,947.3526762904692,602.5113666347985,0.0,0.2,946.7620405811152,608.6546092153442
3,P2,physics_guided_diffusion,3,150,-29.8875499984523,-30.59663427682169,-0.0668690140738798,5587.93310546875,1295.040283203125,0.12,0.5266666666666666,2179.154330444336,1345.5337928771974
3,P2,spline,3,150,-0.7262547209163368,-0.7407193852711959,-0.7315635674814712,1321.027713906462,1157.2301877622235,0.0,0.88,1301.650229664318,1153.7567041328966
3,P2,gaussian,5,150,0.9824033897970326,0.9825037898451764,0.989145619023992,138.1916804769443,78.24254100529437,0.98,0.0,121.52995403181065,77.63985291951614
3,P2,physics_guided_diffusion,5,150,-2.788589462874017,-3.100966109298473,0.9029048291958586,2027.7115478515625,368.8341979980469,0.5133333333333333,0.0866666666666666,665.5336552174886,361.13350997924806
3,P2,spline,5,150,0.891590407004281,0.8944805735180102,0.9090101544486556,343.0056297693767,221.76980343923236,0.5466666666666666,0.0,320.43535146055126,221.84330187715335
3,P2,gaussian,7,150,0.9928685840264484,0.9928851753620888,0.9943519701838296,89.73318793293839,54.103945296790926,1.0,0.0,84.34468331640974,54.48902542272357
3,P2,physics_guided_diffusion,7,150,0.9516368258728582,0.9554227592221832,0.9893427713381138,233.6805725097656,89.14452362060547,0.9533333333333334,0.0066666666666666,147.79052607218424,86.95728357950847
3,P2,spline,7,150,0.980177518265496,0.98091200568168,0.9842104528600238,149.60435137643785,99.41999765082406,1.0,0.0,137.0189483552198,98.65127708775448
3,P2,gaussian,9,150,0.993585753135847,0.9935010018156856,0.994520210212952,84.85426315730223,53.65442919382956,1.0,0.0,81.13112994609428,54.38093724740091
3,P2,physics_guided_diffusion,9,150,0.98276186100325,0.9831883609930644,0.9931124691475872,139.1060333251953,58.35504531860352,0.9933333333333332,0.0066666666666666,99.2339282353719,58.13545597076416
3,P2,spline,9,150,0.9915156453451652,0.9917183318813412,0.9932440734973508,97.5911056617502,61.26196088678985,1.0,0.0,91.39088386500003,60.95168604017388
3,P2,gaussian,11,150,0.9938124938225626,0.9937429968686524,0.9950716474306476,83.29556202746849,51.94099230210301,1.0,0.0,78.73189483826498,52.512091953484855
3,P2,physics_guided_diffusion,11,150,0.982937672393168,0.9829715495503858,0.9934771072509336,138.31942749023438,57.76478576660156,0.9866666666666668,0.0066666666666666,100.53495861053467,58.91548981984457
3,P2,spline,11,150,0.9933539982399764,0.99330567744388,0.9946380662692488,86.32652638976322,50.9195708116567,1.0,0.0,81.2859015379031,51.361756142458944
3,P2,gaussian,13,150,0.994255482439672,0.9941848935903556,0.9958776496115485,80.35885546715016,48.8458924264046,1.0,0.0,74.67565220512233,49.59881684401381
3,P2,physics_guided_diffusion,13,150,0.9857849380910756,0.9866585448984792,0.994505180828169,126.40997314453124,57.10621643066406,0.98,0.0,96.42635995229084,57.14851949691772
3,P2,spline,13,150,0.993314007228836,0.9931091620274948,0.995217815296708,86.69417402451424,49.09982483750228,1.0,0.0,81.32502246535232,50.20214364846325
