model_index,curve_family,label,budget,method,task_count,point_r2,task_mean_r2,task_median_r2,point_rmse,point_mae,frac_test_r2_gt_0_9,frac_test_r2_lt_0,p05_test_r2,mean_test_rmse,mean_test_mae,mean_abs_peak_step_error,mean_tail_rmse_pct_peak,run_kind,prior_lambda,epochs,lr,conditional_epochs,conditional_lr
3,P2,P2 / M3,5,gaussian,150,0.981834693554824,0.981804440732466,0.9877664509749444,136.94137236904723,76.38251271569587,0.98,0.0,0.9562549280596502,122.08505109681565,76.48976639998223,0.3466666666666667,0.4531042652347307,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,5,spline,150,0.9168588126945468,0.918629389619105,0.937311308158158,292.9688340043202,182.6975558251659,0.7333333333333333,0.0,0.8082240930382343,269.4979228761604,179.71138368403277,0.16,1.2150534146724794,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,5,source_pretrained_mlp,150,0.3687779261916792,0.3379463087014208,0.9439585262695211,807.2432093811805,234.5219225904704,0.6533333333333333,0.0933333333333333,-0.4763562939907801,426.4420879151758,233.0530742958496,1.0733333333333333,4.727931232983104,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,5,proposed_prior_regularized,150,0.9544992082171636,0.9554380672494176,0.9767759233785368,216.73187518351256,116.04532763167823,0.88,0.0,0.8396386699039938,185.48701394577608,114.61104193844872,0.4333333333333333,0.4720709179647009,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,7,gaussian,150,0.992771084091508,0.992676306275718,0.994252783470938,89.10715723477894,53.5676067371742,1.0,0.0,0.9816805895376272,83.59337895150317,54.18184942182066,0.2866666666666667,0.6177639554232267,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,7,spline,150,0.9903667048226044,0.9903172360302468,0.9927053159667196,102.86400658933628,68.62462931741065,1.0,0.0,0.9754793858841068,96.8619375161838,68.71679221033045,0.0533333333333333,0.8580983908250327,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,7,source_pretrained_mlp,150,0.5494895699322544,0.533423064765773,0.9823496973837386,703.4422144819129,153.44850184708855,0.8733333333333333,0.0533333333333333,0.0326483489168156,290.105404035467,150.00649754092646,0.7933333333333333,0.7565515319959488,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,7,proposed_prior_regularized,150,0.9789048063681224,0.9784620759276412,0.990118141280382,152.21861299249778,75.9482542784188,0.9733333333333334,0.0,0.9341974157126248,125.58669965148977,76.16055989464027,0.34,0.2963429314775088,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,9,gaussian,150,0.9931910763746016,0.9929981913639534,0.9946880103044629,86.4980144431711,53.94206442271233,1.0,0.0,0.9815730346688024,81.88043654689626,54.68349510436448,0.2733333333333333,0.6065893717668512,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,9,spline,150,0.9931878447655051,0.9930794747554524,0.9938549447826556,86.51853858374214,56.95812967246515,1.0,0.0,0.9827439689631292,82.71172340651333,57.25148268566551,0.1066666666666666,0.6165145901755053,sample,1e-06,250.0,0.01,,
