task_id,WL,Retention,PEC,num_points
61,1,3,6000,26
259,7,3,6000,24
292,8,3,6000,24
313,9,2,5000,27
365,11,1,2000,24
492,14,3,8000,26
531,16,1,3000,21
566,17,1,5000,25
638,19,2,0,20
667,20,1,7000,23
713,21,2,9000,25
740,22,2,3000,21
763,23,1,4000,21
767,23,1,8000,21
782,23,3,1000,22
815,24,3,1000,22
964,29,1,7000,21
1065,32,1,9000,24
1087,32,3,9000,24
1173,35,2,7000,23
1176,35,2,10000,22
1289,39,1,2000,25
1346,40,3,4000,24
1377,41,3,2000,26
1518,46,1,0,20
1585,48,1,1000,19
1625,49,1,8000,24
1673,50,3,1000,21
1679,50,3,7000,25
1811,54,3,7000,25
1892,57,2,0,22
1900,57,2,8000,25
1975,59,3,6000,26
2011,60,3,9000,24
2066,62,2,9000,25
2307,69,3,8000,25
2330,70,2,9000,27
2334,70,3,2000,24
2420,73,2,0,21
2563,77,3,0,24
2619,79,2,1000,21
2725,82,2,8000,22
2765,83,3,4000,22
2931,88,3,5000,28
2957,89,2,9000,28
3038,92,1,2000,22
3065,92,3,7000,23
3085,93,2,5000,21
3099,93,3,8000,22
3251,98,2,6000,26
3350,101,2,6000,24
3435,104,1,3000,21
3448,104,2,5000,25
3595,108,3,9000,27
3643,110,2,2000,23
3651,110,2,10000,25
3663,111,1,0,22
3685,111,3,0,22
3692,111,3,7000,21
3701,112,1,5000,23
3719,112,3,1000,22
3746,113,2,6000,25
3751,113,3,0,23
3860,116,3,10000,25
3875,117,2,3000,24
3898,118,1,4000,21
3929,119,1,2000,20
3964,120,1,4000,23
3967,120,1,7000,23
3983,120,3,1000,22
4158,126,1,0,24
4162,126,1,4000,24
4253,128,3,7000,25
4267,129,1,10000,23
4374,132,2,7000,25
4541,137,2,9000,22
4566,138,2,1000,22
4620,140,1,0,24
4666,141,2,2000,28
4673,141,2,9000,25
4715,142,3,7000,28
4728,143,1,9000,24
4761,144,1,9000,25
4765,144,2,2000,25
4785,145,1,0,21
4842,146,3,2000,28
5084,154,1,2000,20
5266,159,2,8000,23
5279,159,3,10000,27
5346,162,1,0,20
5349,162,1,3000,22
5359,162,2,2000,24
5433,164,2,10000,28
5510,166,3,10000,25
5588,169,2,0,20
5611,170,1,1000,20
5627,170,2,6000,24
5658,171,2,4000,26
5708,172,3,10000,25
5730,173,2,10000,24
5747,174,1,5000,22
5792,175,2,6000,24
5843,177,1,2000,23
5871,177,3,8000,26
5929,179,3,0,21
5964,180,3,2000,24
6114,185,1,9000,24
6212,188,1,8000,26
6226,188,3,0,22
6322,191,2,8000,28
6326,191,3,1000,22
6344,192,1,8000,25
6423,194,2,10000,25
6439,195,1,4000,24
6445,195,1,10000,24
6497,196,3,7000,24
6504,197,1,3000,21
6535,198,1,1000,23
6558,198,3,2000,25
6565,198,3,9000,23
6613,200,2,2000,24
6659,201,3,4000,24
6695,202,3,7000,22
6703,203,1,4000,22
6751,204,2,8000,22
6761,204,3,7000,22
6850,207,2,8000,22
6899,209,1,2000,23
6940,210,1,10000,23
6979,211,2,5000,23
6980,211,2,6000,24
6984,211,2,10000,23
6994,211,3,9000,22
7062,214,1,0,25
7129,216,1,1000,21
7153,216,3,3000,26
7202,218,1,8000,22
7206,218,2,1000,20
7398,224,1,6000,21
7453,225,3,6000,21
7537,228,2,2000,24
7574,229,2,6000,24
7711,233,3,0,22
7712,233,3,1000,24
7878,238,3,2000,24
8090,245,1,5000,23
8099,245,2,3000,27
8107,245,3,0,20
8293,251,1,10000,23
8381,253,3,10000,25
