task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points,val_mse,val_rmse,val_mae,val_r2,val_points,test_mse,test_rmse,test_mae,test_r2,test_points
0,0,4,0,24,scratch,1,7,0.014851957559585571,0.0008776582544669509,10585.556640625,102.8861312866211,56.083003997802734,0.9911050069173704,14,10861.248046875,104.2173080444336,48.82560729980469,0.9908977401849423,5,24704.6796875,157.17723083496094,104.9873046875,0.9576450145726566,5
1,0,4,1000,22,scratch,1,46,0.012281518429517746,9.611057976144366e-06,23.589879989624023,4.856941223144531,3.4909324645996094,0.9999811459082101,14,2492.9326171875,49.92927551269531,36.13031768798828,0.9975347879326191,4,1549.1661376953125,39.35944747924805,22.498950958251953,0.9968291384569941,4
2,0,4,2000,28,generated,0,17,0.03896051645278931,0.026670332998037338,6132.82421875,78.31234741210938,32.93733215332031,0.9930669566080977,16,905.3148803710938,30.088451385498047,21.510107040405273,0.9991239479542612,6,3338.109375,57.77637481689453,31.618911743164062,0.9970784050793611,6
3,0,4,3000,27,generated,0,8,0.24176129698753357,0.007615542504936457,17887.634765625,133.74465942382812,76.71724700927734,0.9807158476815699,17,23963.44140625,154.80130004882812,110.34025573730469,0.9791160362862571,5,34524.28515625,185.80711364746094,107.112060546875,0.9639562574813234,5
4,0,4,4000,28,scratch,1,8,0.09667623788118362,0.005706008058041334,12993.2275390625,113.98783874511719,47.715675354003906,0.9842849439764723,16,53175.00390625,230.59706115722656,124.1297607421875,0.958623549357879,6,15559.9970703125,124.73971557617188,74.71623992919922,0.9815122368400394,6
5,0,4,5000,28,generated,0,9,0.06528915464878082,0.0001642133283894509,1178.029541015625,34.32243347167969,20.14040756225586,0.9986235401924434,16,5134.51708984375,71.65554809570312,42.4338493347168,0.9956222687964086,6,13199.2939453125,114.88818359375,59.30081558227539,0.9841162195361718,6
6,0,4,6000,27,scratch,1,6,0.005390565376728773,0.003096066415309906,23247.201171875,152.47032165527344,93.14828491210938,0.971358631420603,17,6090.63818359375,78.04254150390625,45.65773391723633,0.9947365862456031,5,22960.27734375,151.5264892578125,91.51193237304688,0.977312728149034,5
7,0,4,7000,26,generated,0,7,0.03564249724149704,0.0031964550726115704,3924.9794921875,62.649658203125,34.258270263671875,0.9960147879372511,16,10615.923828125,103.03360748291016,48.451480865478516,0.9853473749530065,5,39063.69921875,197.6453857421875,103.53605651855469,0.9611334982265795,5
8,0,4,8000,27,generated,0,9,0.19673536717891693,0.004213372245430946,11994.3857421875,109.51888275146484,59.15205764770508,0.9854867555557362,17,20515.58984375,143.23263549804688,101.40541076660156,0.9816955782142218,5,22992.89453125,151.6340789794922,88.32637023925781,0.9766549519172883,5
9,0,4,9000,27,generated,0,6,0.0177999809384346,0.008147241547703743,18214.638671875,134.9616241455078,66.7879867553711,0.9766673092060174,17,6041.7177734375,77.72848510742188,54.960472106933594,0.9938716750835981,5,60891.79296875,246.7626190185547,124.75465393066406,0.9538463897787514,5
10,0,4,10000,25,scratch,1,7,0.01628796011209488,0.012033289298415184,10634.87109375,103.1255111694336,57.69060516357422,0.9879983843129678,15,2883.780029296875,53.70083999633789,30.835948944091797,0.9971552790948413,5,18325.86328125,135.373046875,80.48991394042969,0.984221488648917,5
11,0,5,0,26,scratch,1,4,0.05752304941415787,0.003131398232653737,36734.36328125,191.662109375,123.49213409423828,0.9590089208563214,16,5008.5302734375,70.7709732055664,37.95038604736328,0.9956258829573204,5,6551.84521484375,80.94346618652344,56.780372619628906,0.9945343680793551,5
12,0,5,1000,25,generated,0,4,0.04425450414419174,0.00034167891135439277,54277.875,232.9761199951172,135.25576782226562,0.9474974707166501,15,35880.24609375,189.4208221435547,103.23465728759766,0.9402952580044278,5,85818.21875,292.9474792480469,173.66221618652344,0.9170249695504497,5
13,0,5,2000,27,generated,0,4,0.12353471666574478,0.0020584992598742247,17877.861328125,133.70811462402344,78.57032775878906,0.9792433950564423,17,1942.8857421875,44.07817840576172,33.90096664428711,0.9983389847310766,5,4679.2734375,68.40521240234375,45.635581970214844,0.9928042489451,5
14,0,5,3000,27,scratch,1,10,0.06121509149670601,0.0077056605368852615,8177.67919921875,90.4305191040039,41.59599685668945,0.9907068784119761,17,31009.078125,176.0939483642578,111.43693542480469,0.9723588421611983,5,16986.544921875,130.3324432373047,79.71879577636719,0.9710083914935361,5
15,0,5,4000,28,generated,0,3,0.05158834531903267,0.002229757606983185,8862.7255859375,94.14205169677734,54.74828338623047,0.9886958415536022,16,9927.43359375,99.63650512695312,70.0334701538086,0.9898701133871814,6,3158.927490234375,56.20433807373047,40.172306060791016,0.9963401497797864,6
16,0,5,5000,28,generated,0,5,0.053795602172613144,0.0009518705774098635,4504.8173828125,67.11793518066406,37.911094665527344,0.9940616991715355,16,1991.5048828125,44.62628173828125,26.145713806152344,0.9978174202680521,6,8567.4697265625,92.56063079833984,51.6475715637207,0.9895202610932552,6
17,0,5,6000,27,scratch,1,6,0.12043317407369614,0.0022875710856169462,39465.1015625,198.6582489013672,124.4441909790039,0.9456816171048893,17,8368.826171875,91.48128509521484,65.26533508300781,0.9900150359890492,5,13982.056640625,118.2457504272461,78.70292663574219,0.9842367304116926,5
18,0,5,7000,27,scratch,1,44,0.13292838633060455,0.00019563506066333503,2444.277099609375,49.439632415771484,21.348316192626953,0.9967358621760981,17,27082.86328125,164.5687255859375,100.61994934082031,0.967284926283582,5,9725.662109375,98.6187744140625,64.3943099975586,0.9870122397944053,5
19,0,5,8000,28,scratch,1,6,0.10718318074941635,0.013354388065636158,7258.34619140625,85.19593048095703,52.35660171508789,0.9883844651483251,16,3266.231689453125,57.15095520019531,42.33640670776367,0.9962961746829148,6,3949.240478515625,62.84298324584961,35.66263961791992,0.9945512672692561,6
20,0,5,9000,30,scratch,1,13,0.16536125540733337,0.0025637373328208923,8974.0986328125,94.73171997070312,59.20262908935547,0.9880291379312908,18,335.0917053222656,18.305509567260742,14.274151802062988,0.9992165282004042,6,6906.03125,83.10253143310547,49.68059158325195,0.9906517483503735,6
21,0,5,10000,28,generated,0,8,0.012348632328212261,0.0021160999312996864,3812.439208984375,61.74495315551758,38.415531158447266,0.9944990018500194,16,21526.126953125,146.7178497314453,99.55467987060547,0.9674780066274965,6,12461.6171875,111.6316146850586,68.7041244506836,0.9849148914959128,6
22,0,6,0,21,generated,0,7,0.0027379277162253857,0.006017687264829874,2206.112548828125,46.96927261352539,33.12331771850586,0.998283918994302,13,4024.115966796875,63.43592071533203,42.82660675048828,0.9967960381079559,4,17124.490234375,130.86058044433594,93.4659652709961,0.9750382169693352,4
23,0,6,1000,21,generated,0,91,0.04653573036193848,0.00014202170132193714,775.5550537109375,27.84878921508789,16.34172248840332,0.9993742957268528,13,16489.560546875,128.41168212890625,91.42515563964844,0.9865564838570582,4,15802.412109375,125.7076416015625,83.86767578125,0.9696640395926145,4
24,0,6,2000,23,generated,0,8,0.07313288748264313,0.00035798398312181234,24099.625,155.24053955078125,84.14945983886719,0.9747898833192125,13,119316.3515625,345.4219970703125,205.875732421875,0.9038098925582445,5,114649.4140625,338.59918212890625,166.68190002441406,0.9019106767213068,5
25,0,6,3000,25,generated,0,7,0.01786060258746147,0.0026179172564297915,5795.17431640625,76.12604522705078,39.93916320800781,0.9948481303710089,15,1840.1324462890625,42.896766662597656,21.931053161621094,0.9975301478951835,5,4295.84912109375,65.542724609375,41.51441192626953,0.9961843746866871,5
26,0,6,4000,25,scratch,1,10,0.07062628865242004,0.0027771582826972008,20200.787109375,142.1294708251953,76.73162078857422,0.9835769995571645,15,68537.0078125,261.7957458496094,155.79336547851562,0.8172150006219588,5,40179.9921875,200.44947814941406,130.80001831054688,0.9549703341181555,5
27,0,6,5000,25,scratch,1,6,0.03329828009009361,0.00316980155184865,124030.4453125,352.1795654296875,199.01763916015625,0.8630079513672024,15,75938.9453125,275.5702209472656,133.71347045898438,0.9411363753477762,5,4409.42529296875,66.40350341796875,44.25811767578125,0.9957592862410889,5
28,0,6,6000,24,generated,0,10,0.015014308504760265,5.3063769883010536e-05,4031.890625,63.497169494628906,38.12371063232422,0.9958998547708741,14,15401.501953125,124.10279083251953,81.58499908447266,0.9885209147778781,5,8917.4345703125,94.43216705322266,50.049964904785156,0.9871482805844397,5
29,0,6,7000,25,scratch,1,7,0.03174571320414543,0.0008107500616461039,28358.73828125,168.40052795410156,97.9252700805664,0.9730506336652693,15,1848.662841796875,42.99607849121094,27.67511558532715,0.9977402092807099,5,917.5719604492188,30.29145050048828,20.11752700805664,0.9990853415245942,5
30,0,6,8000,26,generated,0,10,0.04293524846434593,0.000890602997969836,2223.93212890625,47.15858459472656,29.289159774780273,0.9976472653650232,16,9497.8505859375,97.45691680908203,59.91211700439453,0.9871805590988556,5,12389.8544921875,111.30972290039062,63.232688903808594,0.9892607152467383,5
31,0,6,9000,26,generated,0,4,0.20907258987426758,0.0003532320843078196,34353.1328125,185.34597778320312,90.26002502441406,0.9559086895007418,16,34572.6953125,185.93734741210938,89.0003890991211,0.9696306764001095,5,51688.62109375,227.351318359375,112.23921203613281,0.9606479458020754,5
32,0,6,10000,24,scratch,1,54,0.043522533029317856,0.00206258287653327,9372.279296875,96.81053161621094,59.34586715698242,0.9900348148875082,14,14240.6923828125,119.3343734741211,75.75337219238281,0.9885174334806377,5,100865.359375,317.59307861328125,175.24136352539062,0.9025972996209801,5
33,1,4,0,23,generated,0,29,0.003558396827429533,4.518571586231701e-05,1322.469970703125,36.365779876708984,18.607276916503906,0.9986863205463681,13,2447.607177734375,49.473297119140625,32.489768981933594,0.997810754863157,5,2016.4599609375,44.90501022338867,32.388771057128906,0.9983941243532356,5
34,1,4,1000,25,generated,0,38,0.029327820986509323,0.0004704841412603855,1028.4447021484375,32.069374084472656,16.129528045654297,0.9989661389897693,15,7936.90478515625,89.08930969238281,60.444358825683594,0.991661391993278,5,10719.5302734375,103.53516387939453,62.57244873046875,0.9913443973830433,5
35,1,4,2000,25,scratch,1,46,0.0044633313082158566,7.71071354392916e-05,583.3565673828125,24.152774810791016,14.093955039978027,0.9993997891070312,15,84.14319610595703,9.17296028137207,7.0239152908325195,0.9999113119681162,5,727.3917236328125,26.97020149230957,17.673320770263672,0.9993633935306433,5
36,1,4,3000,28,scratch,1,43,0.019006934016942978,1.504234296589857e-05,14.879804611206055,3.8574349880218506,1.8471072912216187,0.9999844989048847,16,5639.99072265625,75.09986877441406,38.59419631958008,0.9931688204474783,6,15168.1044921875,123.15885925292969,68.67810821533203,0.9855369943988495,6
