task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
61,1,3,6000,26,,0,140,0.0014038383960723877,0.0014038383960723877,1119.5867919921875,33.460227966308594,15.842708587646484,0.9988529019283049,26
259,7,3,6000,30,,0,78,0.0036369150038808584,0.003636828390881419,244.6670379638672,15.641836166381836,7.779573440551758,0.999726724684333,30
292,8,3,6000,24,,0,140,8.102446008706465e-05,8.102446008706465e-05,176.0850830078125,13.269705772399902,7.6700005531311035,0.9998320737238066,24
313,9,2,5000,23,,0,131,0.0017088300082832575,0.001708762370981276,1698.862060546875,41.217254638671875,24.335241317749023,0.9984333006821186,23
365,11,1,2000,24,,0,125,0.0006035521510057151,0.0006034030229784548,3861.462646484375,62.14066696166992,30.125259399414062,0.9964406058627047,24
492,14,3,8000,27,,0,119,0.011957377195358276,0.011957162991166115,218.6931610107422,14.788277626037598,5.6269378662109375,0.9997833873250304,27
531,16,1,3000,25,,0,140,0.004141907673329115,0.004141907673329115,1237.8272705078125,35.182769775390625,14.432391166687012,0.9988859443679631,25
566,17,1,5000,25,,0,106,0.0028331447392702103,0.002832182915881276,11101.236328125,105.3624038696289,50.37655258178711,0.9895178436575781,25
638,19,2,0,26,,0,140,0.0052038230933249,0.0052038230933249,374.68670654296875,19.356826782226562,8.691930770874023,0.9996720802933503,26
667,20,1,7000,26,,0,140,0.001215864554978907,0.001215864554978907,1355.9674072265625,36.823463439941406,22.16000747680664,0.9986748398480523,26
713,21,2,9000,26,,0,140,0.0004873507423326373,0.0004873507423326373,1678.4676513671875,40.9691047668457,20.310514450073242,0.9983488601929646,26
740,22,2,3000,27,,0,140,0.0027983393520116806,0.0027983393520116806,1514.461181640625,38.916080474853516,21.314950942993164,0.9985601100662985,27
763,23,1,4000,24,,0,140,0.0012182554928585887,0.0012182554928585887,446.6772155761719,21.13473892211914,11.442824363708496,0.9995868399863082,24
